"","Time","Year","Month","Day","Season","ClimScenario","Lat_COG_10thPercentile","Lat_COG_Mean","Lat_COG_90thPercentile"
"1",1985-03-16,"1985","03","16","Spring","SSP5_85",4639.95624336467,4647.35863456558,4653.98068054148
"2",1985-07-16,"1985","07","16","Summer","SSP5_85",4749.49989146936,4756.80109899542,4765.05101541186
"3",1985-10-16,"1985","10","16","Fall","SSP5_85",4737.46069547676,4744.40659904647,4750.45266616498
"4",1986-03-16,"1986","03","16","Spring","SSP5_85",4645.50340736709,4651.88191079754,4659.77103038227
"5",1986-07-16,"1986","07","16","Summer","SSP5_85",4750.8562115279,4759.26747223228,4766.51503481034
"6",1986-10-16,"1986","10","16","Fall","SSP5_85",4736.96980563275,4744.39750592955,4754.02287012171
"7",1987-03-16,"1987","03","16","Spring","SSP5_85",4643.78044529056,4650.87704770112,4659.71652697146
"8",1987-07-16,"1987","07","16","Summer","SSP5_85",4747.92306503035,4755.29049175424,4763.62315460788
"9",1987-10-16,"1987","10","16","Fall","SSP5_85",4732.51744200601,4738.72534600321,4745.29078849046
"10",1988-03-16,"1988","03","16","Spring","SSP5_85",4639.21941885307,4646.99377218215,4655.03787385601
"11",1988-07-16,"1988","07","16","Summer","SSP5_85",4750.88841302824,4758.1279343034,4764.15618752981
"12",1988-10-16,"1988","10","16","Fall","SSP5_85",4736.46398433061,4744.31329016847,4752.48907406339
"13",1989-03-16,"1989","03","16","Spring","SSP5_85",4640.74856791183,4648.17763974407,4655.31538279999
"14",1989-07-16,"1989","07","16","Summer","SSP5_85",4748.78515896452,4756.34111693209,4763.25354284648
"15",1989-10-16,"1989","10","16","Fall","SSP5_85",4737.93012657069,4746.03964194035,4752.82234580281
"16",1990-03-16,"1990","03","16","Spring","SSP5_85",4639.77394172747,4648.14979536666,4655.78328390688
"17",1990-07-16,"1990","07","16","Summer","SSP5_85",4747.5704946918,4755.01897497022,4762.53197276061
"18",1990-10-16,"1990","10","16","Fall","SSP5_85",4738.45839727203,4743.93012480959,4752.46826345513
"19",1991-03-16,"1991","03","16","Spring","SSP5_85",4641.35366131922,4648.52442438674,4656.10098863422
"20",1991-07-16,"1991","07","16","Summer","SSP5_85",4746.50547691387,4756.0849624087,4763.04232390997
"21",1991-10-16,"1991","10","16","Fall","SSP5_85",4738.52320550357,4746.39022237467,4754.15725884361
"22",1992-03-16,"1992","03","16","Spring","SSP5_85",4641.49755950777,4649.33575995267,4654.60608267898
"23",1992-07-16,"1992","07","16","Summer","SSP5_85",4744.13355856409,4751.18312702452,4758.7820815685
"24",1992-10-16,"1992","10","16","Fall","SSP5_85",4734.76005663352,4743.3375180333,4750.97096195443
"25",1993-03-16,"1993","03","16","Spring","SSP5_85",4645.59168312747,4651.50284566684,4658.81447490435
"26",1993-07-16,"1993","07","16","Summer","SSP5_85",4744.38410866418,4750.93504425613,4758.62904342648
"27",1993-10-16,"1993","10","16","Fall","SSP5_85",4734.83171740154,4742.85929253741,4752.15530860039
"28",1994-03-16,"1994","03","16","Spring","SSP5_85",4642.61208262814,4651.25086179884,4659.17017374831
"29",1994-07-16,"1994","07","16","Summer","SSP5_85",4745.34542559073,4755.56360333828,4763.21469311438
"30",1994-10-16,"1994","10","16","Fall","SSP5_85",4738.12078057744,4744.71335447069,4752.40025970454
"31",1995-03-16,"1995","03","16","Spring","SSP5_85",4642.32141058496,4647.81158063525,4656.01796340886
"32",1995-07-16,"1995","07","16","Summer","SSP5_85",4750.5357439713,4756.97093004424,4764.89917619809
"33",1995-10-16,"1995","10","16","Fall","SSP5_85",4737.62716938696,4745.41036893574,4754.42931205199
"34",1996-03-16,"1996","03","16","Spring","SSP5_85",4642.68656327659,4649.69940621497,4656.98557005914
"35",1996-07-16,"1996","07","16","Summer","SSP5_85",4745.35447486435,4752.73654041346,4760.70262024099
"36",1996-10-16,"1996","10","16","Fall","SSP5_85",4737.67297047953,4744.44893094391,4752.95539947111
"37",1997-03-16,"1997","03","16","Spring","SSP5_85",4643.41907502518,4648.93869901193,4656.46389342033
"38",1997-07-16,"1997","07","16","Summer","SSP5_85",4748.59047950546,4755.73421086899,4762.96652642632
"39",1997-10-16,"1997","10","16","Fall","SSP5_85",4742.37820368913,4750.29564383513,4757.36875509395
"40",1998-03-16,"1998","03","16","Spring","SSP5_85",4647.77329928927,4656.46779901656,4665.29283763823
"41",1998-07-16,"1998","07","16","Summer","SSP5_85",4750.1058492565,4756.7117632881,4764.78465518432
"42",1998-10-16,"1998","10","16","Fall","SSP5_85",4741.64251996163,4749.2016665126,4757.83455109277
"43",1999-03-16,"1999","03","16","Spring","SSP5_85",4646.39888381156,4652.462401662,4660.59913127533
"44",1999-07-16,"1999","07","16","Summer","SSP5_85",4746.62032019337,4753.72795875558,4760.9894776386
"45",1999-10-16,"1999","10","16","Fall","SSP5_85",4741.15771982349,4747.10906424584,4755.63652889156
"46",2000-03-16,"2000","03","16","Spring","SSP5_85",4641.08627433545,4647.95134006931,4654.40975646149
"47",2000-07-16,"2000","07","16","Summer","SSP5_85",4745.40803423823,4753.39332028959,4759.64240260683
"48",2000-10-16,"2000","10","16","Fall","SSP5_85",4738.12520318055,4745.81950663087,4754.35342368021
"49",2001-03-16,"2001","03","16","Spring","SSP5_85",4642.89384422894,4651.52013287825,4659.57030670206
"50",2001-07-16,"2001","07","16","Summer","SSP5_85",4750.73018634986,4758.24449277331,4763.49316064178
"51",2001-10-16,"2001","10","16","Fall","SSP5_85",4740.48858361055,4748.38922284618,4754.8037717559
"52",2002-03-16,"2002","03","16","Spring","SSP5_85",4646.56181298631,4653.23329076741,4659.96809869756
"53",2002-07-16,"2002","07","16","Summer","SSP5_85",4749.33091750584,4757.54822128655,4763.13009746485
"54",2002-10-16,"2002","10","16","Fall","SSP5_85",4740.82503339607,4749.20931492448,4756.17660538034
"55",2003-03-16,"2003","03","16","Spring","SSP5_85",4648.18023607263,4653.55414769151,4661.77611867196
"56",2003-07-16,"2003","07","16","Summer","SSP5_85",4748.18646607232,4756.57758662987,4762.12772348117
