"","Time","Year","Month","Day","Season","ClimScenario","Region","Biomass_Index_10thPercentile","Biomass_Index_Mean","Biomass_Index_90thPercentile"
"1",1985-03-16,"1985","03","16","Spring","SSP5_85","All",542150.499037633,720769.292617454,919489.723267419
"2",1985-03-16,"1985","03","16","Spring","SSP5_85","GB",149596.343569186,202414.530774547,250379.781239543
"3",1985-03-16,"1985","03","16","Spring","SSP5_85","GoM",50821.5250118272,69146.1576143449,85221.0445944111
"4",1985-07-16,"1985","07","16","Summer","SSP5_85","All",3498069.80138451,4687637.24183716,6646336.88719417
"5",1985-07-16,"1985","07","16","Summer","SSP5_85","GB",913353.119224265,1259230.7110179,1839031.02738583
"6",1985-07-16,"1985","07","16","Summer","SSP5_85","GoM",352275.525635986,473493.095491739,723272.449002721
"7",1985-10-16,"1985","10","16","Fall","SSP5_85","All",317981.038783879,457144.736321478,713803.711699848
"8",1985-10-16,"1985","10","16","Fall","SSP5_85","GB",83283.8131762253,122676.456928778,185706.053938297
"9",1985-10-16,"1985","10","16","Fall","SSP5_85","GoM",34546.7539791553,50273.0171578772,77955.7916777519
"10",1986-03-16,"1986","03","16","Spring","SSP5_85","All",455163.70101421,682781.684204224,1020149.3828408
"11",1986-03-16,"1986","03","16","Spring","SSP5_85","GB",122795.241236343,183855.42751543,273913.816420009
"12",1986-03-16,"1986","03","16","Spring","SSP5_85","GoM",42002.7436318979,60798.0824112403,92438.5441290991
"13",1986-07-16,"1986","07","16","Summer","SSP5_85","All",3240336.50639117,4945619.22072921,7744437.48717959
"14",1986-07-16,"1986","07","16","Summer","SSP5_85","GB",850869.249201175,1288198.76138307,2087665.74104671
"15",1986-07-16,"1986","07","16","Summer","SSP5_85","GoM",318052.868369845,490605.054198791,734347.876736818
"16",1986-10-16,"1986","10","16","Fall","SSP5_85","All",261815.304256315,410067.581127258,601379.643229726
"17",1986-10-16,"1986","10","16","Fall","SSP5_85","GB",64240.1662844978,105306.291488412,153400.194223222
"18",1986-10-16,"1986","10","16","Fall","SSP5_85","GoM",26523.0766842248,43517.5619406323,65675.0058908347
"19",1987-03-16,"1987","03","16","Spring","SSP5_85","All",327937.355320732,564060.353574688,855072.554066378
"20",1987-03-16,"1987","03","16","Spring","SSP5_85","GB",89389.001484234,150415.823418715,225032.414322694
"21",1987-03-16,"1987","03","16","Spring","SSP5_85","GoM",28794.5902003346,49411.2709292797,71799.1793735701
"22",1987-07-16,"1987","07","16","Summer","SSP5_85","All",2330526.73935605,3568062.49134765,5929514.1849522
"23",1987-07-16,"1987","07","16","Summer","SSP5_85","GB",603022.50305753,980764.350376253,1578932.27332065
"24",1987-07-16,"1987","07","16","Summer","SSP5_85","GoM",218445.069625788,347158.557553947,604814.17295784
"25",1987-10-16,"1987","10","16","Fall","SSP5_85","All",221159.464972221,340137.248387192,508717.525510075
"26",1987-10-16,"1987","10","16","Fall","SSP5_85","GB",55531.5055413667,85612.0471766425,127041.749352672
"27",1987-10-16,"1987","10","16","Fall","SSP5_85","GoM",22428.1696979979,34542.3131000311,52186.0991604708
"28",1988-03-16,"1988","03","16","Spring","SSP5_85","All",293374.063360106,421030.677795096,627937.773051163
"29",1988-03-16,"1988","03","16","Spring","SSP5_85","GB",78605.3846232948,111327.286392439,164547.085428668
"30",1988-03-16,"1988","03","16","Spring","SSP5_85","GoM",26387.6038277302,38032.1781414878,52968.391216015
"31",1988-07-16,"1988","07","16","Summer","SSP5_85","All",1716851.26395112,2663695.85605149,4235618.92110063
"32",1988-07-16,"1988","07","16","Summer","SSP5_85","GB",442634.052169439,677556.309375758,1080814.9026535
"33",1988-07-16,"1988","07","16","Summer","SSP5_85","GoM",174157.893317846,256993.458733296,418884.793582698
"34",1988-10-16,"1988","10","16","Fall","SSP5_85","All",144212.442018501,199123.685492937,366748.337468316
"35",1988-10-16,"1988","10","16","Fall","SSP5_85","GB",37433.2733627753,52159.9515495579,95343.7322403671
"36",1988-10-16,"1988","10","16","Fall","SSP5_85","GoM",14699.2250003939,20893.8677527457,37497.5485232427
"37",1989-03-16,"1989","03","16","Spring","SSP5_85","All",162340.785554828,233817.381419284,369891.864604471
"38",1989-03-16,"1989","03","16","Spring","SSP5_85","GB",43858.5838967882,62793.5250814711,99661.3949598925
"39",1989-03-16,"1989","03","16","Spring","SSP5_85","GoM",13535.4009433396,19626.1389738758,32532.7425591588
"40",1989-07-16,"1989","07","16","Summer","SSP5_85","All",924901.342931655,1476583.03484026,2381668.32007691
"41",1989-07-16,"1989","07","16","Summer","SSP5_85","GB",245329.960249695,385028.938130276,640995.323235601
"42",1989-07-16,"1989","07","16","Summer","SSP5_85","GoM",93133.40303926,144359.231082416,243965.106233828
"43",1989-10-16,"1989","10","16","Fall","SSP5_85","All",71909.2539266968,127390.240368043,222944.814271904
"44",1989-10-16,"1989","10","16","Fall","SSP5_85","GB",19576.2283277806,33615.3119551581,59843.3614037368
"45",1989-10-16,"1989","10","16","Fall","SSP5_85","GoM",8057.35723659494,13464.4067244139,24747.7549175929
"46",1990-03-16,"1990","03","16","Spring","SSP5_85","All",110162.028134321,177545.743278252,297702.442622074
"47",1990-03-16,"1990","03","16","Spring","SSP5_85","GB",30567.5412923367,49018.6048973132,81071.9964855736
"48",1990-03-16,"1990","03","16","Spring","SSP5_85","GoM",9121.1463005104,15400.7106203318,26408.9143495637
"49",1990-07-16,"1990","07","16","Summer","SSP5_85","All",825054.671311696,1200875.18345818,1997300.65728973
"50",1990-07-16,"1990","07","16","Summer","SSP5_85","GB",211336.524892959,320142.450044951,546277.913531798
"51",1990-07-16,"1990","07","16","Summer","SSP5_85","GoM",79679.6482364099,125932.322415931,208030.988391828
"52",1990-10-16,"1990","10","16","Fall","SSP5_85","All",67636.2544360539,102627.093007636,175482.966485779
"53",1990-10-16,"1990","10","16","Fall","SSP5_85","GB",17725.6278805437,25249.1531580814,45257.9533908714
"54",1990-10-16,"1990","10","16","Fall","SSP5_85","GoM",6897.53971349996,10047.5258843188,18228.5904358034
"55",1991-03-16,"1991","03","16","Spring","SSP5_85","All",86937.6891160165,141657.166930691,211090.421690894
"56",1991-03-16,"1991","03","16","Spring","SSP5_85","GB",24330.0589110068,39123.236209652,58680.66656203
"57",1991-03-16,"1991","03","16","Spring","SSP5_85","GoM",7451.75390447048,12131.726739756,18828.0990253771
"58",1991-07-16,"1991","07","16","Summer","SSP5_85","All",577168.010277793,975732.865131861,1587660.95808159
"59",1991-07-16,"1991","07","16","Summer","SSP5_85","GB",149356.867164224,255639.379033283,417594.755547257
"60",1991-07-16,"1991","07","16","Summer","SSP5_85","GoM",55279.6521059797,93879.2812932651,157771.289292433
"61",1991-10-16,"1991","10","16","Fall","SSP5_85","All",48259.2647392436,81334.691792562,136216.875009012
"62",1991-10-16,"1991","10","16","Fall","SSP5_85","GB",12118.4246649854,20554.7405610484,35086.8528903565
"63",1991-10-16,"1991","10","16","Fall","SSP5_85","GoM",4679.33746775823,8139.04331349617,13712.8327694496
"64",1992-03-16,"1992","03","16","Spring","SSP5_85","All",73244.950622848,119206.956646116,198034.976052523
"65",1992-03-16,"1992","03","16","Spring","SSP5_85","GB",19149.5429879345,32161.1256954965,53005.9789518205
"66",1992-03-16,"1992","03","16","Spring","SSP5_85","GoM",6046.39635483206,10190.5812182404,16519.821832798
"67",1992-07-16,"1992","07","16","Summer","SSP5_85","All",531034.695514356,873559.340494833,1367341.83315727
"68",1992-07-16,"1992","07","16","Summer","SSP5_85","GB",139066.899069625,224924.28712668,350666.242315226
"69",1992-07-16,"1992","07","16","Summer","SSP5_85","GoM",51482.5134082991,85252.5258034921,134370.337090783
"70",1992-10-16,"1992","10","16","Fall","SSP5_85","All",45926.9259472612,74326.2901196421,122554.075675348
"71",1992-10-16,"1992","10","16","Fall","SSP5_85","GB",11676.3827012319,19062.6089463941,31857.4396050592
"72",1992-10-16,"1992","10","16","Fall","SSP5_85","GoM",4686.62811444243,7306.82943750163,12087.4680610571
"73",1993-03-16,"1993","03","16","Spring","SSP5_85","All",67948.8012144029,112341.522765041,192780.564362247
"74",1993-03-16,"1993","03","16","Spring","SSP5_85","GB",18475.8210839507,29980.0629724916,50634.6900811088
"75",1993-03-16,"1993","03","16","Spring","SSP5_85","GoM",6220.02065933365,9980.43078498149,16985.1347474062
"76",1993-07-16,"1993","07","16","Summer","SSP5_85","All",405409.288054468,704940.499922642,1087292.3652665
"77",1993-07-16,"1993","07","16","Summer","SSP5_85","GB",107367.251964159,177646.091499143,291023.272025624
"78",1993-07-16,"1993","07","16","Summer","SSP5_85","GoM",39978.6096030473,67618.9440025581,118991.982852611
"79",1993-10-16,"1993","10","16","Fall","SSP5_85","All",41967.8064211241,63918.4059737921,103055.814231483
"80",1993-10-16,"1993","10","16","Fall","SSP5_85","GB",10237.0146556839,16202.2406015334,25235.0458880254
"81",1993-10-16,"1993","10","16","Fall","SSP5_85","GoM",3758.97919152046,6197.4179364135,9719.64874214387
"82",1994-03-16,"1994","03","16","Spring","SSP5_85","All",60337.0033138847,99293.4473676142,154294.620914148
"83",1994-03-16,"1994","03","16","Spring","SSP5_85","GB",16084.9833207984,26296.5286165882,41843.0374439203
"84",1994-03-16,"1994","03","16","Spring","SSP5_85","GoM",5259.54459947561,8587.98499060237,13933.5706358912
"85",1994-07-16,"1994","07","16","Summer","SSP5_85","All",480867.231288525,799111.226496546,1252253.24711419
"86",1994-07-16,"1994","07","16","Summer","SSP5_85","GB",122309.628317976,204837.026016211,331840.130946024
"87",1994-07-16,"1994","07","16","Summer","SSP5_85","GoM",43812.2058336259,77119.4417352748,126196.64735112
"88",1994-10-16,"1994","10","16","Fall","SSP5_85","All",42129.5706846627,80034.7176126791,124679.102445388
"89",1994-10-16,"1994","10","16","Fall","SSP5_85","GB",10405.8731992382,20230.2808857101,31675.4307624621
"90",1994-10-16,"1994","10","16","Fall","SSP5_85","GoM",4060.28816273551,7918.0052441368,12127.2775397554
"91",1995-03-16,"1995","03","16","Spring","SSP5_85","All",79549.1462728687,123019.784480867,197276.58304181
"92",1995-03-16,"1995","03","16","Spring","SSP5_85","GB",22146.8569694703,33476.9033931628,53679.3938595546
"93",1995-03-16,"1995","03","16","Spring","SSP5_85","GoM",7251.90435239866,11089.4574773855,18063.9833229768
"94",1995-07-16,"1995","07","16","Summer","SSP5_85","All",728723.716985875,1153590.56310055,1797514.51653694
"95",1995-07-16,"1995","07","16","Summer","SSP5_85","GB",190688.917052261,306034.244626015,469108.079041281
"96",1995-07-16,"1995","07","16","Summer","SSP5_85","GoM",70087.1063377059,117832.295812529,190760.966615469
"97",1995-10-16,"1995","10","16","Fall","SSP5_85","All",86070.764888966,132112.279380873,227411.157061864
"98",1995-10-16,"1995","10","16","Fall","SSP5_85","GB",23063.8287002721,35394.2885726409,57208.1451449432
"99",1995-10-16,"1995","10","16","Fall","SSP5_85","GoM",9087.86335036761,14078.6858982501,22577.5314197472
"100",1996-03-16,"1996","03","16","Spring","SSP5_85","All",140525.583893523,224416.383958285,358893.279660618
"101",1996-03-16,"1996","03","16","Spring","SSP5_85","GB",39645.174144825,63404.9466242785,99973.6474825929
"102",1996-03-16,"1996","03","16","Spring","SSP5_85","GoM",12956.2899685443,20374.539522717,32242.0333919508
"103",1996-07-16,"1996","07","16","Summer","SSP5_85","All",1134294.11294455,1698818.83108551,2711617.40391781
"104",1996-07-16,"1996","07","16","Summer","SSP5_85","GB",300475.201190755,454248.264922537,745788.751276277
"105",1996-07-16,"1996","07","16","Summer","SSP5_85","GoM",112867.032465955,173438.017886026,271572.997289679
"106",1996-10-16,"1996","10","16","Fall","SSP5_85","All",113999.08601165,186728.683055322,262828.048235136
"107",1996-10-16,"1996","10","16","Fall","SSP5_85","GB",28823.5594766068,47185.2351404858,68463.9093344317
"108",1996-10-16,"1996","10","16","Fall","SSP5_85","GoM",12000.7226918137,19816.5186464669,29617.340838706
"109",1997-03-16,"1997","03","16","Spring","SSP5_85","All",180780.383934023,270716.159743729,432993.314173142
"110",1997-03-16,"1997","03","16","Spring","SSP5_85","GB",49046.1931189832,74075.380899083,117841.419843882
"111",1997-03-16,"1997","03","16","Spring","SSP5_85","GoM",16054.2722829303,24771.2864317639,38238.369981011
"112",1997-07-16,"1997","07","16","Summer","SSP5_85","All",1070223.60175768,1800223.31948155,2643609.09692667
"113",1997-07-16,"1997","07","16","Summer","SSP5_85","GB",278719.380210028,460835.436952138,734887.623958752
"114",1997-07-16,"1997","07","16","Summer","SSP5_85","GoM",107152.874988561,178379.327775115,282194.266569569
"115",1997-10-16,"1997","10","16","Fall","SSP5_85","All",93146.2375870685,153706.875820415,213687.22988345
"116",1997-10-16,"1997","10","16","Fall","SSP5_85","GB",25008.1889828076,41031.3330097156,56998.0150941155
"117",1997-10-16,"1997","10","16","Fall","SSP5_85","GoM",10589.3071265724,17626.8559359466,24201.9075379413
"118",1998-03-16,"1998","03","16","Spring","SSP5_85","All",121256.099281465,208337.990034097,296435.18025494
"119",1998-03-16,"1998","03","16","Spring","SSP5_85","GB",32130.7358376467,54770.0291193895,78142.4252405632
"120",1998-03-16,"1998","03","16","Spring","SSP5_85","GoM",10719.4948680762,18200.1631743949,26381.1715435927
"121",1998-07-16,"1998","07","16","Summer","SSP5_85","All",887464.193205057,1554074.82531086,2306920.9136618
"122",1998-07-16,"1998","07","16","Summer","SSP5_85","GB",230539.447718128,411783.149585191,640631.73113952
"123",1998-07-16,"1998","07","16","Summer","SSP5_85","GoM",94281.53428578,158795.922476192,248667.565949801
"124",1998-10-16,"1998","10","16","Fall","SSP5_85","All",95657.3454133567,147247.815700459,233952.952065508
"125",1998-10-16,"1998","10","16","Fall","SSP5_85","GB",24220.2134127366,37657.0994235054,59491.2370421409
"126",1998-10-16,"1998","10","16","Fall","SSP5_85","GoM",9313.61078835965,14485.1941518098,24267.9159403034
"127",1999-03-16,"1999","03","16","Spring","SSP5_85","All",136063.285226405,239283.314331917,339524.428470149
"128",1999-03-16,"1999","03","16","Spring","SSP5_85","GB",37548.2673594735,63824.7324293464,93285.7022655377
"129",1999-03-16,"1999","03","16","Spring","SSP5_85","GoM",12031.4986111272,20758.7023622114,30515.460784539
"130",1999-07-16,"1999","07","16","Summer","SSP5_85","All",1024602.95066921,1564491.05507149,2416457.95339483
"131",1999-07-16,"1999","07","16","Summer","SSP5_85","GB",278584.544766002,429493.423459251,667463.948914893
"132",1999-07-16,"1999","07","16","Summer","SSP5_85","GoM",101868.059495514,162093.224212632,274545.281975977
"133",1999-10-16,"1999","10","16","Fall","SSP5_85","All",118293.783042409,187087.171198659,281742.148136509
"134",1999-10-16,"1999","10","16","Fall","SSP5_85","GB",32134.2364541978,50033.6262610329,73059.2651572502
"135",1999-10-16,"1999","10","16","Fall","SSP5_85","GoM",12524.0449786504,20333.4476673551,29806.4958794987
"136",2000-03-16,"2000","03","16","Spring","SSP5_85","All",166731.247002841,291952.455519586,436503.396437115
"137",2000-03-16,"2000","03","16","Spring","SSP5_85","GB",47587.0786000681,84690.1862114743,125248.940121674
"138",2000-03-16,"2000","03","16","Spring","SSP5_85","GoM",14696.5199870274,25931.4025029927,38901.8214804419
"139",2000-07-16,"2000","07","16","Summer","SSP5_85","All",1428669.2623364,2244885.45152833,3364262.92512058
"140",2000-07-16,"2000","07","16","Summer","SSP5_85","GB",374341.260763968,603239.553385164,901881.308879847
"141",2000-07-16,"2000","07","16","Summer","SSP5_85","GoM",138558.248759452,222157.182005781,364681.892084393
"142",2000-10-16,"2000","10","16","Fall","SSP5_85","All",172223.463340155,263589.354599948,422033.073615464
"143",2000-10-16,"2000","10","16","Fall","SSP5_85","GB",47833.6771332513,72671.802467966,111708.137407684
"144",2000-10-16,"2000","10","16","Fall","SSP5_85","GoM",19429.608575613,29729.6962663,47602.1725226874
"145",2001-03-16,"2001","03","16","Spring","SSP5_85","All",245916.746236978,372409.480067119,611902.821739031
"146",2001-03-16,"2001","03","16","Spring","SSP5_85","GB",69319.3787672651,104883.693455094,175417.028607503
"147",2001-03-16,"2001","03","16","Spring","SSP5_85","GoM",23794.9408261857,36696.9516523154,61509.8298545245
"148",2001-07-16,"2001","07","16","Summer","SSP5_85","All",1679703.71543897,2716540.14342527,4518238.24532904
"149",2001-07-16,"2001","07","16","Summer","SSP5_85","GB",441974.696327305,706051.294219335,1218607.4035589
"150",2001-07-16,"2001","07","16","Summer","SSP5_85","GoM",174191.579310048,274391.060887203,474208.241850394
"151",2001-10-16,"2001","10","16","Fall","SSP5_85","All",190389.3374118,307779.857654871,482568.216501263
"152",2001-10-16,"2001","10","16","Fall","SSP5_85","GB",50792.2088567958,83058.2868662351,130228.191092247
"153",2001-10-16,"2001","10","16","Fall","SSP5_85","GoM",21113.6954519804,34870.5112983052,53612.4167963143
"154",2002-03-16,"2002","03","16","Spring","SSP5_85","All",260358.859272364,420731.672054534,733009.242139041
"155",2002-03-16,"2002","03","16","Spring","SSP5_85","GB",73215.3639760385,120839.999753008,208635.768391622
"156",2002-03-16,"2002","03","16","Spring","SSP5_85","GoM",24218.798537227,41380.0905749855,70112.6414474643
"157",2002-07-16,"2002","07","16","Summer","SSP5_85","All",1792178.27985973,2780301.64376528,4807873.10970718
"158",2002-07-16,"2002","07","16","Summer","SSP5_85","GB",457698.415874875,733067.523320203,1267677.6435652
"159",2002-07-16,"2002","07","16","Summer","SSP5_85","GoM",181425.164143318,273070.908361739,474309.802823709
