"","Stock","Total","Commercial","Sector","Common Pool","Recreational","Herring Fishery","Scallop Fishery","State Water","Other","Year","Small Mesh","data_type"
"1","GB cod",NA,NA,NA,84,NA,NA,NA,27.7,171.4,2010,NA,"Catch"
"2","GOM cod",NA,NA,NA,226,NA,NA,NA,190.3,57.8,2010,NA,"Catch"
"3","GB Haddock",NA,NA,NA,92.2,NA,69.2,NA,1.6,131,2010,NA,"Catch"
"4","GOM Haddock",784.6,774,370.5,7.1,396.3,0.5,NA,8.5,1.6,2010,NA,"Catch"
"5","GB Yellowtail Flounder",809.7,757.6,739,18.6,NA,NA,17.6,0,34.4,2010,NA,"Catch"
"6","SNE Yellowtail Flounder",314.7,171.9,152.5,19.4,NA,NA,113,6.7,23.1,2010,NA,"Catch"
"7","CC/GOM Yellowtail Flounder",671.4,596.7,559.8,36.9,NA,NA,NA,33.2,41.6,2010,NA,"Catch"
"8","Plaice",NA,NA,NA,32.8,NA,NA,NA,25.1,46.2,2010,NA,"Catch"
"9","Witch Flounder",832.5,725.3,695.4,30,NA,NA,NA,23.5,83.7,2010,NA,"Catch"
"10","GB Winter Flounder",NA,NA,NA,8.8,NA,NA,NA,0,140.1,2010,NA,"Catch"
"11","GOM Winter Flounder",193.5,106.1,80.7,25.4,NA,NA,NA,64.2,23.2,2010,NA,"Catch"
"12","SNE Winter Flounder",370.1,47.4,42.3,5.1,NA,NA,NA,181,141.8,2010,NA,"Catch"
"13","Redfish",NA,NA,NA,7.9,NA,NA,NA,10.5,5.2,2010,NA,"Catch"
"14","White Hake",NA,NA,NA,44.2,NA,NA,NA,25.3,59.6,2010,NA,"Catch"
"15","Pollock",NA,NA,NA,151.2,NA,NA,NA,NA,871.1,2010,NA,"Catch"
"16","Northern Windowpane",162.6,153.5,151.7,1.8,NA,NA,NA,0,9.1,2010,NA,"Catch"
"17","Southern Windowpane",534.9,73.6,52.7,20.9,NA,NA,NA,31,430.3,2010,NA,"Catch"
"18","Ocean Pout",102.4,65.2,56.5,8.7,NA,NA,NA,0,37.1,2010,NA,"Catch"
"19","Halibut",36.2,27.8,25.6,2.2,NA,NA,NA,6.6,1.8,2010,NA,"Catch"
"20","Wolffish",22.5,22.4,18.9,3.5,NA,NA,NA,0,0.1,2010,NA,"Catch"
"21","GB cod",NA,NA,NA,61.5,NA,NA,NA,38.9,90.2,2011,NA,"Catch"
"22","GOM cod",NA,NA,NA,93.4,NA,NA,NA,216.4,28.8,2011,NA,"Catch"
"23","GB Haddock",NA,NA,NA,11.7,NA,101.8,NA,3.9,305.8,2011,NA,"Catch"
"24","GOM Haddock",737.6,724.1,483.7,1.9,238.5,0.2,NA,4.9,8.4,2011,NA,"Catch"
"25","GB Yellowtail Flounder",NA,990,988,2,NA,NA,83.9,0,43.2,2011,NA,"Catch"
"26","SNE/MA Yellowtail Flounder",514.9,376.2,364,12.2,NA,NA,110.9,1.1,26.7,2011,NA,"Catch"
"27","CC/GOM Yellowtail Flounder",853.1,806.5,795.1,11.4,NA,NA,NA,38.5,8.1,2011,NA,"Catch"
"28","Plaice",NA,NA,NA,4.5,NA,NA,NA,12.1,12.6,2011,NA,"Catch"
"29","Witch Flounder",NA,997.1,992.9,4.2,NA,NA,NA,22.5,166.4,2011,NA,"Catch"
"30","GB Winter Flounder",NA,NA,NA,1.1,NA,NA,NA,0,59.4,2011,NA,"Catch"
"31","GOM Winter Flounder",287.3,160.8,158.2,2.6,NA,NA,NA,113.3,13.2,2011,NA,"Catch"
