spstock2,totalACL_mt,nonsector_nonrec_fraction,rec_fraction,sector_frac,mults_allocated,mults_nonalloc,non_mult,stockarea
americanlobster,,0,0,1,0,0,1,Unit
americanplaiceflounder,28254,.0241,0,.9759,1,0,0,Unit
codGB,33305,.2605,0,.7395,1,0,0,GB
codGOM,30485,.0485,.337,.6145,1,0,0,GOM
haddockGB,840894,.157,0,.843,1,0,0,GB
haddockGOM,82809,.0106,.275,.7144,1,0,0,GOM
halibut,1261,.2675,0,.7325,0,1,0,Unit
monkfish,,0,0,1,0,0,1,Unit
nofish,,0,0,1,0,0,0,Unit
oceanpout,2242,.2056,0,.7944,0,1,0,Unit
other,,0,0,1,0,0,1,Unit
pollock,276428,.0651,0,.9349,1,0,0,Unit
redfish,129867,.0017,0,.9983,1,0,0,Unit
redsilveroffshorehake,,0,0,1,0,0,1,Unit
seascallop,,0,0,1,0,0,1,Unit
skates,,0,0,1,0,0,1,Unit
spinydogfish,,0,0,1,0,0,1,Unit
squidmackerelbutterfishherring,,0,0,1,0,0,1,Unit
summerflounder,,0,0,1,0,0,1,Unit
whitehake,40895,.0162,0,.9838,1,0,0,Unit
windowpanen,1791,.4679,0,.5321,0,1,0,Unit
windowpanes,5678,.8329,0,.1671,0,1,0,Unit
winterflounderGB,21367,.0283,0,.9717,1,0,0,GB
winterflounderGOM,8168,.1693,0,.8307,1,0,0,GOM
winterflounderSNEMA,11360,.2452,0,.7548,1,0,0,SNEMA
witchflounder,13437,.1045,0,.8955,1,0,0,Unit
wolffish,1004,.0114,0,.9886,0,1,0,Unit
yellowtailflounderCCGOM,8647,.1286,0,.8714,1,0,0,CCGOM
yellowtailflounderGB,8217.4,.1357,0,.8643,1,0,0,GB
yellowtailflounderSNEMA,4750,.2264,0,.7736,1,0,0,SNEMA
