spstock2,totalACL_mt,nonsector_nonrec_fraction,rec_fraction,sector_frac
AmericanLobster,,0,0,1
AmericanPlaiceFlounder,1272,.050235849,0,.94976413
CodGB,637,.13014129,0,.86985874
CodGOM,473,.22536997,.33700001,.43763
HaddockGB,54568,.0044073449,0,.99559265
HaddockGOM,4285,.023267211,.27500001,.70173275
Halibut,119,.33025208,0,.66974795
Monkfish,,0,0,1
OceanPout,155,.11290322,0,.88709676
Other,,0,0,1
Pollock,20374,.070251301,0,.92974871
RedSilverOffshoreHake,,0,0,1
Redfish,10514,.0014266692,0,.9985733
SeaScallop,,0,0,1
Skates,,0,0,1
SpinyDogfish,,0,0,1
SquidMackerelButterfishHerring,,0,0,1
SummerFlounder,,0,0,1
WhiteHake,3467,.0036631091,0,.99633688
WindowpaneN,170,.31470588,0,.68529415
WindowpaneS,599,.62537563,0,.37462437
WinterFlounderGB,683,.019472914,0,.9805271
WinterFlounderGOM,776,.25399485,0,.74600518
WinterFlounderSNEMA,749,.23818424,0,.76181579
WitchFlounder,839,.12479141,0,.87520862
Wolffish,77,.0012987013,0,.99870127
YellowtailFlounderCCGOM,409,.28166258,0,.71833742
YellowtailFlounderGB,201,.26368159,0,.73631841
YellowtailFlounderSNEMA,256,.0546875,0,.9453125
