spstock2,totalACL_mt,nonsector_nonrec_fraction,rec_fraction,sector_frac,mults_allocated,mults_nonalloc,non_mult,stockarea
americanlobster,,0,0,1,0,0,1,Unit
americanplaiceflounder,2740,.0079,0,.9921,1,0,0,Unit
codGB,1695,.4021,0,.5979,1,0,0,GB
codGOM,523,.0461,.337,.6169,1,0,0,GOM
haddockGB,78574,0,0,1,1,0,0,GB
haddockGOM,15843,.0028,.275,.7222,1,0,0,GOM
halibut,97,.1464,0,.8536,0,1,0,Unit
monkfish,,0,0,1,0,0,1,Unit
nofish,,0,0,1,0,0,0,Unit
oceanpout,83,.2434,0,.7566,0,1,0,Unit
other,,0,0,1,0,0,1,Unit
pollock,21086,.0571,0,.9429,1,0,0,Unit
redfish,9677,.0004,0,.9996,1,0,0,Unit
redsilveroffshorehake,,0,0,1,0,0,1,Unit
seascallop,,0,0,1,0,0,1,Unit
skates,,0,0,1,0,0,1,Unit
spinydogfish,,0,0,1,0,0,1,Unit
squidmackerelbutterfishherring,,0,0,1,0,0,1,Unit
summerflounder,,0,0,1,0,0,1,Unit
whitehake,2041,.0058,0,.9942,1,0,0,Unit
windowpanen,150,.8613,0,.1387,0,1,0,Unit
windowpanes,371,.3679,0,.6321,0,1,0,Unit
winterflounderGB,591,.0044,0,.9956,1,0,0,GB
winterflounderGOM,482,.2083,0,.7917,1,0,0,GOM
winterflounderSNEMA,441,.3918,0,.6082,1,0,0,SNEMA
witchflounder,1414,.0346,0,.9654,1,0,0,Unit
wolffish,86,0,0,1,0,1,0,Unit
yellowtailflounderCCGOM,787,.1271,0,.8729,1,0,0,CCGOM
yellowtailflounderGB,123,.2837,0,.7163,1,0,0,GB
yellowtailflounderSNEMA,21,.1714,0,.8286,1,0,0,SNEMA
