gffishingyear,q_fy,stockcode,stock_string,spstock2,live_price_nom,live_price_R
2010,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.5320458,1.6533601
2010,1,2,GBE Cod,codGB,1.5297556,1.6508886
2010,1,3,GBW Cod,codGB,1.539098,1.6609707
2010,1,4,GBE Haddock,haddockGB,1.0874279,1.1735353
2010,1,5,GBW Haddock,haddockGB,1.0537214,1.1371598
2010,1,6,GB Winter Flounder,winterflounderGB,1.8205079,1.9646639
2010,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.3811414,1.4905064
2010,1,8,GOM Cod,codGOM,1.7645446,1.9042692
2010,1,9,GOM Haddock,haddockGOM,1.7428148,1.8808187
2010,1,10,GOM Winter Flounder,winterflounderGOM,1.9804101,2.137228
2010,1,11,Plaice,americanplaiceflounder,1.3285644,1.4337661
2010,1,12,Pollock,pollock,.98653275,1.0646509
2010,1,13,Redfish,redfish,.48644093,.5249595
2010,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.8366426,1.9820763
2010,1,15,White Hake,whitehake,1.0250251,1.1061913
2010,1,16,Witch Flounder,witchflounder,2.5223088,2.7220366
2010,1,17,SNEMA Winter Flounder,,1.3264468,1.4314808
2010,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.555297,1.6551707
2010,2,2,GBE Cod,codGB,1.7235264,1.8342029
2010,2,3,GBW Cod,codGB,1.8032699,1.9190671
2010,2,4,GBE Haddock,haddockGB,.95165968,1.0127707
2010,2,5,GBW Haddock,haddockGB,1.1006013,1.1712766
2010,2,6,GB Winter Flounder,winterflounderGB,2.1604843,2.2992201
2010,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.3783995,1.4669137
2010,2,8,GOM Cod,codGOM,1.9672997,2.0936301
2010,2,9,GOM Haddock,haddockGOM,1.2084856,1.2860887
2010,2,10,GOM Winter Flounder,winterflounderGOM,2.0355971,2.1663134
2010,2,11,Plaice,americanplaiceflounder,1.2848779,1.3673866
2010,2,12,Pollock,pollock,.78193122,.83214307
2010,2,13,Redfish,redfish,.50988489,.54262722
2010,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.5987546,1.701419
2010,2,15,White Hake,whitehake,.99006206,1.0536391
2010,2,16,Witch Flounder,witchflounder,2.6491497,2.8192654
2010,2,17,SNEMA Winter Flounder,,2.1398041,2.2772119
2010,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.494218,1.5387882
2010,3,2,GBE Cod,codGB,1.463264,1.5069109
2010,3,3,GBW Cod,codGB,1.5976027,1.6452568
2010,3,4,GBE Haddock,haddockGB,1.2487441,1.2859923
2010,3,5,GBW Haddock,haddockGB,1.1816632,1.2169104
2010,3,6,GB Winter Flounder,winterflounderGB,2.2125814,2.2785792
2010,3,7,GB Yellowtail Flounder,yellowtailflounderGB,1.3514076,1.3917181
2010,3,8,GOM Cod,codGOM,1.8996989,1.956364
2010,3,9,GOM Haddock,haddockGOM,1.6478055,1.696957
2010,3,10,GOM Winter Flounder,winterflounderGOM,2.1516166,2.215796
2010,3,11,Plaice,americanplaiceflounder,1.5768434,1.6238782
2010,3,12,Pollock,pollock,.71639627,.73776531
2010,3,13,Redfish,redfish,.69826484,.71909302
2010,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.4549626,1.4983619
2010,3,15,White Hake,whitehake,1.0115126,1.0416845
2010,3,16,Witch Flounder,witchflounder,2.588871,2.6660931
2010,3,17,SNEMA Winter Flounder,,2.1017556,2.1644478
2010,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.2366142,1.2405037
2010,4,2,GBE Cod,codGB,1.8889039,1.8948449
2010,4,3,GBW Cod,codGB,1.9706837,1.976882
2010,4,4,GBE Haddock,haddockGB,1.0750523,1.0784335
2010,4,5,GBW Haddock,haddockGB,.99841976,1.0015601
2010,4,6,GB Winter Flounder,winterflounderGB,1.5030673,1.5077947
2010,4,7,GB Yellowtail Flounder,yellowtailflounderGB,.86948913,.87222391
2010,4,8,GOM Cod,codGOM,2.2092481,2.2161968
2010,4,9,GOM Haddock,haddockGOM,1.7231543,1.728574
2010,4,10,GOM Winter Flounder,winterflounderGOM,1.612432,1.6175035
2010,4,11,Plaice,americanplaiceflounder,1.660086,1.6653074
2010,4,12,Pollock,pollock,.8810395,.88381058
2010,4,13,Redfish,redfish,.64698893,.64902389
2010,4,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.2735838,1.2775896
2010,4,15,White Hake,whitehake,.96446544,.9674989
2010,4,16,Witch Flounder,witchflounder,2.038269,2.0446799
2010,4,17,SNEMA Winter Flounder,,1.6485424,1.6537275
2011,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.0742363,1.0511506
2011,1,2,GBE Cod,codGB,1.6209379,1.5861034
2011,1,3,GBW Cod,codGB,1.566588,1.5329216
2011,1,4,GBE Haddock,haddockGB,1.3307623,1.3021637
2011,1,5,GBW Haddock,haddockGB,1.259535,1.2324672
2011,1,6,GB Winter Flounder,winterflounderGB,1.5041265,1.4718024
2011,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.0195104,.99760079
2011,1,8,GOM Cod,codGOM,1.7982858,1.7596401
2011,1,9,GOM Haddock,haddockGOM,2.1180961,2.0725775
2011,1,10,GOM Winter Flounder,winterflounderGOM,1.585681,1.5516042
2011,1,11,Plaice,americanplaiceflounder,1.2231476,1.1968619
2011,1,12,Pollock,pollock,.76120287,.74484438
2011,1,13,Redfish,redfish,.50994176,.49898294
2011,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.0644555,1.0415801
2011,1,15,White Hake,whitehake,1.0384339,1.0161177
2011,1,16,Witch Flounder,witchflounder,1.9955163,1.9526321
