Year,F,R,M
1982,0.6997643,12519200,0.2
1983,0.85472,13976540,0.2
1984,0.7605107,14055340,0.2
1985,0.9951407,10786260,0.2
1986,0.8563994,16631560,0.2
1987,0.8681519,17662870,0.2
1988,0.6547805,32593270,0.2
1989,0.9745814,5051173,0.21
1990,1.198393,5417801,0.23
1991,1.18376,10072200,0.24
1992,1.279991,10661790,0.25
1993,1.543551,14684380,0.27
1994,1.332879,5257516,0.28
1995,0.916881,6217710,0.29
1996,0.8162326,5584570,0.31
1997,0.6711441,9777971,0.32
1998,0.5597291,9105385,0.33
1999,0.3747781,19041730,0.35
2000,0.4428962,11455660,0.36
2001,0.4594742,2976459,0.37
2002,0.3626093,13175370,0.39
2003,0.3926542,4777869,0.4
2004,0.4701816,15418270,0.4
2005,0.6450534,9185212,0.4
2006,0.4354878,15170260,0.4
2007,0.481724,11425310,0.4
2008,0.6653683,8282485,0.4
2009,0.7703221,5282501,0.4
2010,0.8866648,3214456,0.4
2011,1.307762,3123141,0.4
2012,1.481667,3451363,0.4
2013,1.858794,1711859,0.4
2014,1.668793,5726967,0.4
