"stock","year","age","re"
"wgom",1981,"Age 1",0
"wgom",1982,"Age 1",1.65522132708181
"wgom",1983,"Age 1",1.69963307713683
"wgom",1984,"Age 1",0.813795251987349
"wgom",1985,"Age 1",0.0513254773767837
"wgom",1986,"Age 1",0.774216021171192
"wgom",1987,"Age 1",0.850102338712839
"wgom",1988,"Age 1",1.46153435818794
"wgom",1989,"Age 1",1.58572676269506
"wgom",1990,"Age 1",0.554977478526192
"wgom",1991,"Age 1",0.750629151975064
"wgom",1992,"Age 1",0.569435940064016
"wgom",1993,"Age 1",0.660994535310104
"wgom",1994,"Age 1",0.674323278562802
"wgom",1995,"Age 1",-0.0281613497326347
"wgom",1996,"Age 1",-0.106756956887606
"wgom",1997,"Age 1",0.457702888053731
"wgom",1998,"Age 1",0.0494811181433281
"wgom",1999,"Age 1",1.05700657825108
"wgom",2000,"Age 1",1.31559366321261
"wgom",2001,"Age 1",-0.154744352277879
"wgom",2002,"Age 1",1.2529818551689
"wgom",2003,"Age 1",0.591006072351036
"wgom",2004,"Age 1",1.45472389255474
"wgom",2005,"Age 1",0.356940447773951
"wgom",2006,"Age 1",1.14428491071941
"wgom",2007,"Age 1",0.908669524486024
"wgom",2008,"Age 1",1.00593896829622
"wgom",2009,"Age 1",0.697269461954805
"wgom",2010,"Age 1",-0.113500730446564
"wgom",2011,"Age 1",-0.995952752359625
"wgom",2012,"Age 1",-0.915768326368016
"wgom",2013,"Age 1",-1.82668652537781
"wgom",2014,"Age 1",-0.996645589427473
"wgom",2015,"Age 1",-1.49772234878418
"wgom",2016,"Age 1",-2.34999794691374
"wgom",2017,"Age 1",-2.53545099439644
"wgom",2018,"Age 1",-1.46409199320803
"wgom",2019,"Age 1",-2.27294490199656
"wgom",2020,"Age 1",-1.2049865086473
"wgom",2021,"Age 1",-0.904202479371826
"wgom",2022,"Age 1",-0.967510994554616
"wgom",2023,"Age 1",-1.67472252598726
"wgom",1981,"Age 2",0
"wgom",1982,"Age 2",0.0953352964367511
"wgom",1983,"Age 2",0.263353290410766
"wgom",1984,"Age 2",-0.188231795661602
"wgom",1985,"Age 2",0.448918451267206
"wgom",1986,"Age 2",0.681174866762879
"wgom",1987,"Age 2",0.823464819611601
"wgom",1988,"Age 2",0.68479196829233
"wgom",1989,"Age 2",0.521208668675891
"wgom",1990,"Age 2",0.20372882461464
"wgom",1991,"Age 2",0.185531862492757
"wgom",1992,"Age 2",0.496554727534972
"wgom",1993,"Age 2",0.524134911993674
"wgom",1994,"Age 2",0.389728960457916
"wgom",1995,"Age 2",0.250916286061075
"wgom",1996,"Age 2",0.104205290555358
"wgom",1997,"Age 2",0.417234108848911
"wgom",1998,"Age 2",0.282127633399725
"wgom",1999,"Age 2",0.447209461838225
"wgom",2000,"Age 2",0.501420281392454
"wgom",2001,"Age 2",-0.131991969608292
"wgom",2002,"Age 2",-0.0741653373041107
"wgom",2003,"Age 2",-0.484604834230678
"wgom",2004,"Age 2",-0.606508689646564
"wgom",2005,"Age 2",-0.527400189423991
"wgom",2006,"Age 2",0.387920719389051
"wgom",2007,"Age 2",0.19717858688405
"wgom",2008,"Age 2",0.29047514150969
"wgom",2009,"Age 2",-0.404352088403392
"wgom",2010,"Age 2",-0.661841039897267
"wgom",2011,"Age 2",-0.610832213154634
"wgom",2012,"Age 2",-0.025313509809588
"wgom",2013,"Age 2",0.0409748017422435
"wgom",2014,"Age 2",0.251405029592019
"wgom",2015,"Age 2",0.347486592053929
"wgom",2016,"Age 2",-0.115501287229216
"wgom",2017,"Age 2",0.0251487226097922
"wgom",2018,"Age 2",0.0182521945439849
"wgom",2019,"Age 2",-0.124062959747271
"wgom",2020,"Age 2",-0.257449750684463
"wgom",2021,"Age 2",-0.376366052499577
"wgom",2022,"Age 2",-0.29789446560863
"wgom",2023,"Age 2",-0.627813528625019
"wgom",1981,"Age 3",0
"wgom",1982,"Age 3",-0.728006711206008
"wgom",1983,"Age 3",-0.666309372561502
"wgom",1984,"Age 3",-0.778582736777397
"wgom",1985,"Age 3",-0.630226659818682
"wgom",1986,"Age 3",-0.064834810745845
"wgom",1987,"Age 3",0.0959081213145936
"wgom",1988,"Age 3",-0.0844059689416348
"wgom",1989,"Age 3",-0.0763448904957471
"wgom",1990,"Age 3",-0.155251853394921
"wgom",1991,"Age 3",-0.830767097749744
"wgom",1992,"Age 3",-0.473257310537003
"wgom",1993,"Age 3",-0.233958343327483
"wgom",1994,"Age 3",-0.128921552100635
"wgom",1995,"Age 3",-0.00787800951217044
"wgom",1996,"Age 3",-0.57142461116784
"wgom",1997,"Age 3",-0.129771002183691
"wgom",1998,"Age 3",-0.0203375415722249
"wgom",1999,"Age 3",0.201245759994958
"wgom",2000,"Age 3",0.183479457193572
"wgom",2001,"Age 3",-0.123005593566216
"wgom",2002,"Age 3",-0.153391056888308
"wgom",2003,"Age 3",-0.328409973821468
"wgom",2004,"Age 3",-0.177235512385444
"wgom",2005,"Age 3",-0.443343148475166
"wgom",2006,"Age 3",-0.0417999226493464
"wgom",2007,"Age 3",0.00229827845927311
"wgom",2008,"Age 3",-0.323727391797899
"wgom",2009,"Age 3",-0.683806313974463
"wgom",2010,"Age 3",-0.562265300079078
"wgom",2011,"Age 3",-0.464489469860546
"wgom",2012,"Age 3",0.0908487755479905
"wgom",2013,"Age 3",0.359951912137507
"wgom",2014,"Age 3",0.261034675694888
"wgom",2015,"Age 3",0.294760040227627
"wgom",2016,"Age 3",0.152232180266032
"wgom",2017,"Age 3",0.201656293025125
"wgom",2018,"Age 3",0.230469278004994
"wgom",2019,"Age 3",0.0660221933765852
"wgom",2020,"Age 3",0.128709957269709
"wgom",2021,"Age 3",0.117541906119677
"wgom",2022,"Age 3",-0.00444010666740979
"wgom",2023,"Age 3",-0.603402469754181
"wgom",1981,"Age 4",0
"wgom",1982,"Age 4",-0.17056580091251
"wgom",1983,"Age 4",-0.21310840499198
"wgom",1984,"Age 4",-0.236616893604992
"wgom",1985,"Age 4",-0.261104275675724
"wgom",1986,"Age 4",-0.0024980134761039
"wgom",1987,"Age 4",0.100062310355353
"wgom",1988,"Age 4",0.157171679580687
"wgom",1989,"Age 4",-0.153976604101461
"wgom",1990,"Age 4",-0.164527022600746
"wgom",1991,"Age 4",-0.0751695298562627
"wgom",1992,"Age 4",-0.512646505880928
"wgom",1993,"Age 4",-0.13917637139542
"wgom",1994,"Age 4",-0.202360257041666
"wgom",1995,"Age 4",-0.136587378623211
"wgom",1996,"Age 4",0.0505176825361353
"wgom",1997,"Age 4",-0.218360651940003
"wgom",1998,"Age 4",0.131441713301869
"wgom",1999,"Age 4",0.0753680863560637
"wgom",2000,"Age 4",-0.0628316073441759
"wgom",2001,"Age 4",0.0653814419715371
"wgom",2002,"Age 4",-0.00927263656297406
"wgom",2003,"Age 4",-0.300847762178151
"wgom",2004,"Age 4",-0.0938935938747356
"wgom",2005,"Age 4",0.126225770195719
"wgom",2006,"Age 4",0.305169918737114
"wgom",2007,"Age 4",0.281533421020647
"wgom",2008,"Age 4",-0.221945361765952
"wgom",2009,"Age 4",-0.307195723993651
"wgom",2010,"Age 4",-0.05870573267309
"wgom",2011,"Age 4",0.14062313931447
"wgom",2012,"Age 4",0.205133521152026
"wgom",2013,"Age 4",0.112566052336122
"wgom",2014,"Age 4",0.317442471749932
"wgom",2015,"Age 4",0.289416485016605
"wgom",2016,"Age 4",0.267214836240587
"wgom",2017,"Age 4",0.109233500207415
"wgom",2018,"Age 4",0.0575697729927844
"wgom",2019,"Age 4",-0.0820755377880564
"wgom",2020,"Age 4",-0.0586418660519721
"wgom",2021,"Age 4",-0.0697557387280865
"wgom",2022,"Age 4",0.0977080918476689
"wgom",2023,"Age 4",0.154395221518735
"wgom",1981,"Age 5",0
"wgom",1982,"Age 5",-0.0535159768252109
"wgom",1983,"Age 5",-0.0720020829246772
"wgom",1984,"Age 5",-0.154614509933515
"wgom",1985,"Age 5",-0.151946752028106
"wgom",1986,"Age 5",-0.0421463928670187
"wgom",1987,"Age 5",-0.0154492869556808
"wgom",1988,"Age 5",-0.240656565356042
"wgom",1989,"Age 5",-0.328643576459451
"wgom",1990,"Age 5",-0.263617368486941
"wgom",1991,"Age 5",-0.0552837929522685
"wgom",1992,"Age 5",0.279069084786593
"wgom",1993,"Age 5",0.0271694441758878
"wgom",1994,"Age 5",-0.0875872230282857
"wgom",1995,"Age 5",-0.385206460600849
"wgom",1996,"Age 5",-0.34748189528595
"wgom",1997,"Age 5",-0.152666281523071
"wgom",1998,"Age 5",-0.1648763273363
"wgom",1999,"Age 5",0.062678873370241
