Year,F,R,M
1982,0.2631,2579,0.2
1983,0.1825,3282,0.2
1984,0.5401,18070,0.2
1985,0.3414,2515,0.2
1986,0.2207,16764,0.2
1987,0.2945,2603,0.2
1988,0.291,19933,0.2
1989,0.249,1358,0.2
1990,0.2992,3378,0.2
1991,0.6603,2688,0.2
1992,0.5398,10529,0.2
1993,0.2927,15191,0.2
1994,0.3985,14942,0.2
1995,0.1421,12204,0.2
1996,0.097,11301,0.2
1997,0.0855,22261,0.2
1998,0.124,13779,0.2
1999,0.1801,45226,0.2
2000,0.1704,10209,0.2
2001,0.2401,78106,0.2
2002,0.2884,4394,0.2
2003,0.2763,2080,0.2
2004,0.4736,249492,0.2
2005,0.4336,5322,0.2
2006,0.3138,12873,0.2
2007,0.282,4201,0.2
2008,0.2304,4373,0.2
2009,0.3477,1788,0.2
2010,0.3866,6991,0.2
2011,0.3182,207156,0.2
2012,0.7004,38754,0.2
2013,0.2913,29515,0.2
2014,0.5461,2267641,0.2
2015,0.6394,55083,0.2
2016,0.4135,154684,0.2
2017,0.0982,546138,0.2
2018,0.0367,79974,0.2
