Year,F,R,M
1977,0.204766258,13701744.42,0.2
1978,0.229565581,2386130.236,0.2
1979,0.211254509,4644528.988,0.2
1980,0.459498597,15166559.33,0.2
1981,0.478897501,6316920.8,0.2
1982,0.506631599,1508718.075,0.2
1983,0.577182634,3666361.499,0.2
1984,0.393603443,837853.615,0.2
1985,0.344021095,406033.7658,0.2
1986,0.443138816,344152.9865,0.2
1987,0.320051905,127711.4944,0.2
1988,0.250045135,271851.0804,0.2
1989,0.387443645,167128.9211,0.2
1990,0.801913308,163193.6455,0.2
1991,0.97900122,150224.3835,0.2
1992,0.69698946,557362.0683,0.2
1993,0.354475121,1188659.107,0.2
1994,0.208755646,719050.7193,0.2
1995,0.320936367,1155228.291,0.2
1996,0.137640864,732473.852,0.2
1997,0.224112109,3847916.972,0.2
1998,0.183982375,2437409.035,0.2
1999,0.072842589,16581851.83,0.2
2000,0.084058082,5616832.98,0.2
2001,0.061494138,2073069.438,0.2
2002,0.07838071,3723010.69,0.2
2003,0.089959382,1180599.388,0.2
2004,0.100485695,3154628.456,0.2
2005,0.175558329,693110.1621,0.2
2006,0.126469779,1788846.534,0.2
2007,0.279845442,2831399.544,0.2
2008,0.255489647,730340.2932,0.2
2009,0.222907869,647148.4274,0.2
2010,0.184429674,1052388.312,0.2
2011,0.142872947,5775758.243,0.2
2012,0.179054343,4884314.832,0.2
2013,0.124004241,25845878.85,0.2
2014,0.059722862,55825031.02,0.2
2015,0.038575074,11243619.05,0.2
2016,0.060648056,12354679.73,0.2
2017,0.081211915,13367054.48,0.2
2018,0.045427806,8638631.139,0.2
2019,0.061422509,6067440.916,0.2
2020,0.108504834,7559056.317,0.2
2021,0.243833209,27946265.64,0.2
2022,0.165298598,25791234.96,0.2
2023,0.225317748,4974427.26,0.2
