"stock","year","age","re"
"haddockGOM",1977,"Age 1",0
"haddockGOM",1977,"Age 2",0
"haddockGOM",1977,"Age 3",0
"haddockGOM",1977,"Age 4",0
"haddockGOM",1977,"Age 5",0
"haddockGOM",1977,"Age 6",0
"haddockGOM",1977,"Age 7",0
"haddockGOM",1977,"Age 8",0
"haddockGOM",1977,"Age 9",0
"haddockGOM",1978,"Age 1",-0.00111723242303707
"haddockGOM",1978,"Age 2",-0.257230260953392
"haddockGOM",1978,"Age 3",-0.235278562938202
"haddockGOM",1978,"Age 4",0.357705525509337
"haddockGOM",1978,"Age 5",0.220475099178209
"haddockGOM",1978,"Age 6",0.0616925351163733
"haddockGOM",1978,"Age 7",-0.414419223139929
"haddockGOM",1978,"Age 8",-0.250056860426499
"haddockGOM",1978,"Age 9",-0.130526588775716
"haddockGOM",1979,"Age 1",0.664899827265939
"haddockGOM",1979,"Age 2",-0.343427208758047
"haddockGOM",1979,"Age 3",-0.325153787420692
"haddockGOM",1979,"Age 4",-0.286211806445905
"haddockGOM",1979,"Age 5",0.239673025170897
"haddockGOM",1979,"Age 6",-0.269400753005023
"haddockGOM",1979,"Age 7",-0.412733873240259
"haddockGOM",1979,"Age 8",-0.324064788359718
"haddockGOM",1979,"Age 9",-0.1843901111864
"haddockGOM",1980,"Age 1",1.84830282243323
"haddockGOM",1980,"Age 2",0.0839364969753245
"haddockGOM",1980,"Age 3",-0.165890744873851
"haddockGOM",1980,"Age 4",-0.408973800855967
"haddockGOM",1980,"Age 5",-0.421711513757533
"haddockGOM",1980,"Age 6",-0.141772862775809
"haddockGOM",1980,"Age 7",-0.245631658994059
"haddockGOM",1980,"Age 8",-0.20721353489605
"haddockGOM",1980,"Age 9",-0.106799933577582
"haddockGOM",1981,"Age 1",0.972441736358197
"haddockGOM",1981,"Age 2",-0.141312396835611
"haddockGOM",1981,"Age 3",0.0427571973519827
"haddockGOM",1981,"Age 4",0.196071035104859
"haddockGOM",1981,"Age 5",-0.036598560786369
"haddockGOM",1981,"Age 6",-0.156163850685219
"haddockGOM",1981,"Age 7",0.153384802561627
"haddockGOM",1981,"Age 8",0.237124671859289
"haddockGOM",1981,"Age 9",0.118550715995796
"haddockGOM",1982,"Age 1",-0.459529804736775
"haddockGOM",1982,"Age 2",-0.133569484612776
"haddockGOM",1982,"Age 3",-0.410516251840518
"haddockGOM",1982,"Age 4",0.0241125549603529
"haddockGOM",1982,"Age 5",0.223554438541253
"haddockGOM",1982,"Age 6",0.28682715834462
"haddockGOM",1982,"Age 7",0.36164939102063
"haddockGOM",1982,"Age 8",0.43199376389062
"haddockGOM",1982,"Age 9",0.242631405143894
"haddockGOM",1983,"Age 1",0.428409615398496
"haddockGOM",1983,"Age 2",-0.609538128973028
"haddockGOM",1983,"Age 3",-0.0468109364716049
"haddockGOM",1983,"Age 4",-0.234445483446504
"haddockGOM",1983,"Age 5",0.596743397832214
"haddockGOM",1983,"Age 6",0.698421270343671
"haddockGOM",1983,"Age 7",0.449266323051337
"haddockGOM",1983,"Age 8",0.397917928570637
"haddockGOM",1983,"Age 9",0.174625217430132
"haddockGOM",1984,"Age 1",-1.04770201534517
"haddockGOM",1984,"Age 2",-0.267198750358031
"haddockGOM",1984,"Age 3",-0.00221458657161744
"haddockGOM",1984,"Age 4",0.00950194503597412
"haddockGOM",1984,"Age 5",-0.0911937319634486
"haddockGOM",1984,"Age 6",0.414899785363342
"haddockGOM",1984,"Age 7",0.307170406788967
"haddockGOM",1984,"Age 8",0.0555671848956738
"haddockGOM",1984,"Age 9",0.0126647012770809
"haddockGOM",1985,"Age 1",-1.77210909379457
"haddockGOM",1985,"Age 2",0.412229961260345
"haddockGOM",1985,"Age 3",0.585564785562353
"haddockGOM",1985,"Age 4",0.38437490946857
"haddockGOM",1985,"Age 5",0.0937429207903637
"haddockGOM",1985,"Age 6",0.0740257892379335
"haddockGOM",1985,"Age 7",0.151480409198975
"haddockGOM",1985,"Age 8",-0.0326583711164634
"haddockGOM",1985,"Age 9",-0.425427080705556
"haddockGOM",1986,"Age 1",-1.93745913006713
"haddockGOM",1986,"Age 2",-0.247010708110742
"haddockGOM",1986,"Age 3",-0.0288129266982047
"haddockGOM",1986,"Age 4",-0.461325381374029
"haddockGOM",1986,"Age 5",-0.0433130652108886
"haddockGOM",1986,"Age 6",-0.469131788017747
"haddockGOM",1986,"Age 7",-0.265346477109785
"haddockGOM",1986,"Age 8",-0.480431885194375
"haddockGOM",1986,"Age 9",-0.725280529970933
"haddockGOM",1987,"Age 1",-2.92877164703062
"haddockGOM",1987,"Age 2",-0.109995877416515
"haddockGOM",1987,"Age 3",-0.121829710338223
"haddockGOM",1987,"Age 4",-0.276254895225648
"haddockGOM",1987,"Age 5",-0.851794238504792
"haddockGOM",1987,"Age 6",-0.0908097723585009
"haddockGOM",1987,"Age 7",0.0379468711288622
"haddockGOM",1987,"Age 8",-0.210054985470947
"haddockGOM",1987,"Age 9",-0.543443985460081
"haddockGOM",1988,"Age 1",-2.17329099889814
"haddockGOM",1988,"Age 2",-0.848981416106894
"haddockGOM",1988,"Age 3",-0.428826913382029
"haddockGOM",1988,"Age 4",-0.225989108217389
"haddockGOM",1988,"Age 5",0.133085735964481
"haddockGOM",1988,"Age 6",0.33098381808248
"haddockGOM",1988,"Age 7",-0.178730745954668
"haddockGOM",1988,"Age 8",-0.372985981987801
"haddockGOM",1988,"Age 9",-0.88073975549249
"haddockGOM",1989,"Age 1",-2.6597799195478
"haddockGOM",1989,"Age 2",0.411945808767851
"haddockGOM",1989,"Age 3",0.256244694678931
"haddockGOM",1989,"Age 4",0.398186546388318
"haddockGOM",1989,"Age 5",0.344583403312757
"haddockGOM",1989,"Age 6",-0.396257081002386
"haddockGOM",1989,"Age 7",-0.928450987714337
"haddockGOM",1989,"Age 8",-1.26612239599375
"haddockGOM",1989,"Age 9",-1.4880368144854
"haddockGOM",1990,"Age 1",-2.68360791167849
"haddockGOM",1990,"Age 2",-0.341595892080178
"haddockGOM",1990,"Age 3",0.119423633687179
