Year,F,R,M
1938,0.0013172,8790530,0.154
1939,0.02056295,8864940,0.154
1940,0.0276566,8906050,0.154
1941,0.0396846,8701660,0.154
1942,0.04878565,8725470,0.154
1943,0.0734554,8615330,0.154
1944,0.0787765,8448450,0.154
1945,0.0988493,8227115,0.154
1946,0.1283165,8013125,0.154
1947,0.122363,7669575,0.154
1948,0.286962,7432635,0.154
1949,0.2123615,6563505,0.154
1950,0.1904095,6106510,0.154
1951,0.1522995,5762655,0.154
1952,0.1603905,5658125,0.154
1953,0.1191865,5584115,0.154
1954,0.1571055,5534765,0.154
1955,0.124936,5408625,0.154
1956,0.1313245,5446195,0.154
1957,0.232115,5367490,0.154
1958,0.1265305,4838415,0.154
1959,0.1747315,4833565,0.154
1960,0.154608,4635690,0.154
1961,0.1928915,4373260,0.154
1962,0.2024905,4098405,0.154
1963,0.196504,3777090,0.154
1964,0.1884665,3654515,0.154
1965,0.24526,3593815,0.154
1966,0.2569235,3315770,0.154
1967,0.204955,3036235,0.154
1968,0.182198,2976545,0.154
1969,0.1087355,2894840,0.154
1970,0.0792427,3043140,0.154
1971,0.1497965,3127295,0.154
1972,0.1592955,3061105,0.154
1973,0.183459,3056370,0.154
1974,0.2659705,2905730,0.154
1975,0.2147435,2493065,0.154
1976,0.1983715,2308885,0.154
1977,0.07167675,2192410,0.154
1978,0.0511204,2523020,0.154
1979,0.0426174,2819785,0.154
1980,0.0434681,3115405,0.154
1981,0.05234655,3275250,0.154
1982,0.06334395,3443310,0.154
1983,0.07272875,3430120,0.154
1984,0.0666491,3441775,0.154
1985,0.05244205,3534510,0.154
1986,0.061445,3514010,0.154
1987,0.0638167,3667555,0.154
1988,0.1095865,3733205,0.154
1989,0.1340765,3587500,0.154
1990,0.155449,3253980,0.154
1991,0.1220395,2872815,0.154
1992,0.09468005,2522120,0.154
1993,0.08901915,2249270,0.154
1994,0.07487025,2200060,0.154
1995,0.10363,3095820,0.154
1996,0.04697635,7948170,0.154
1997,0.0490851,5343530,0.154
1998,0.0463018,13876000,0.154
1999,0.05083245,6769340,0.154
2000,0.04632965,2694850,0.154
2001,0.05147595,3384720,0.154
2002,0.049134,4292180,0.154
2003,0.0454634,7745975,0.154
2004,0.0445734,4062390,0.154
2005,0.0499783,25433350,0.154
2006,0.03923695,13344500,0.154
2007,0.0398878,2849650,0.154
2008,0.0365782,4457690,0.154
2009,0.04296925,5408350,0.154
2010,0.0394605,2689490,0.154
2011,0.04938705,8911305,0.154
2012,0.04210255,2906945,0.154
2013,0.04289015,3271945,0.154
2014,0.0357412,11666650,0.154
2015,0.0336394,49924600,0.154
2016,0.0288073,34210800,0.154
2017,0.02576125,5494840,0.154
2018,0.0182891,5975880,0.154
2019,0.01597235,6642890,0.154
2020,0.0146435,7540545,0.154
2021,0.01894435,7898690,0.154
2022,0.0208111,8191765,0.154
2023,0.02143995,8369230,0.154
