Year,F,R,M
1973,0.9,29384000,0.2
1974,1.16,52184000,0.2
1975,1.43,70632000,0.2
1976,1.02,24731000,0.2
1977,1,17283000,0.2
1978,0.95,54437000,0.2
1979,0.99,25508000,0.2
1980,0.72,24034000,0.2
1981,1.24,62997000,0.2
1982,1.1,22846000,0.2
1983,0.67,6581000,0.2
1984,1.81,10843000,0.2
1985,1.03,16749000,0.2
1986,0.8,8473000,0.2
1987,1.34,9193000,0.2
1988,1.56,22841000,0.2
1989,0.93,9661000,0.2
1990,0.94,11217000,0.2
1991,1.34,22557000,0.2
1992,1.19,17518000,0.2
1993,1.47,13938000,0.2
1994,1.83,13178000,0.2
1995,0.93,11670000,0.2
1996,0.57,13467000,0.2
1997,0.51,19791000,0.2
1998,0.67,22377000,0.2
1999,0.67,24508000,0.2
2000,0.96,19746000,0.2
2001,0.97,22169000,0.2
2002,0.65,15117000,0.2
2003,0.61,10584000,0.2
2004,1.94,6833000,0.2
2005,1.39,8505000,0.2
2006,1.54,10068000,0.2
2007,1.05,6213000,0.2
2008,0.57,5424000,0.2
2009,0.83,5727000,0.2
2010,0.73,2883000,0.2
2011,0.6,2260000,0.2
2012,0.32,2278000,0.2
