"","Year","AveSST"
"X1982",1982,10.031279375818
"X1983",1983,10.5745512114631
"X1984",1984,10.3940985971027
"X1985",1985,10.035700697369
"X1986",1986,9.81284071604411
"X1987",1987,9.44338471094767
"X1988",1988,9.57059569888645
"X1989",1989,9.81067052152422
"X1990",1990,10.059674220615
"X1991",1991,10.1214905050066
"X1992",1992,9.23434056705899
"X1993",1993,9.54056522051493
"X1994",1994,9.98984942701128
"X1995",1995,9.85728864934709
"X1996",1996,9.28809086216821
"X1997",1997,9.76974132590824
"X1998",1998,9.81235639254252
"X1999",1999,10.6025796890259
"X2000",2000,10.4342101679908
"X2001",2001,10.2633427063624
"X2002",2002,10.6908901797401
"X2003",2003,9.7904309325748
"X2004",2004,9.30723736021254
"X2005",2005,9.828073281712
"X2006",2006,10.5197015815311
"X2007",2007,10.1609739012188
"X2008",2008,10.3052452246348
"X2009",2009,10.176975411839
"X2010",2010,10.9349274529351
"X2011",2011,10.8034882068634
"X2012",2012,12.0222875118256
"X2013",2013,11.24808177948
"X2014",2014,10.9131311204698
"X2015",2015,10.8581192069583
"X2016",2016,11.5225725862715
"X2017",2017,11.0257714748383
"X2018",2018,11.2864370452033
"X2019",2019,10.6595275772942
"X2020",2020,11.5177149454753
