% annual mean temperatures over the Northeast US Large Marine Ecosystem from the CMIP-5 ensemble
% provided by James Scott and Mike Alexander, ESRL, May 2017
year	ACCESS1_0	ACCESS1_3	CAN_ESM2	CCSM4	CESM1_BGC	CESM1_CAM5	CMCC_CESM	CMCC_CM	CNRM_CM5	CSIRO_MK3_6_0	GFDL_CM3	GFDL_ESM2G	GFDL_ESM2M	GISS_E2_H	GISS_E2_R	HADGEM2_AO	HADGEM2_CC	HADGEM2_ES	INMCM4	IPSL_CM5A_LR	IPSL_CM5A_MR	IPSL_CM5B_LR	MIROC_ESM	MPI_ESM_LR	MPI_ESM_MR	NORESM1_M	NORESM1_ME
1901	1.718286323547e+01	1.878909873962e+01	1.807050704956e+01	1.918270301819e+01	1.945265579224e+01	1.872668838501e+01	1.548385238647e+01	1.541649150848e+01	1.286860084534e+01	1.403310203552e+01	1.630175781250e+01	1.578060722351e+01	1.540787506104e+01	1.581387424469e+01	1.713286781311e+01	1.472795867920e+01	1.550891113281e+01	1.667588233948e+01	1.673390007019e+01	1.580211925507e+01	1.716829872131e+01	1.223750591278e+01	1.684680747986e+01	1.572314071655e+01	1.481020069122e+01	1.745045280457e+01	1.756034469604e+01
1902	1.805898666382e+01	1.885680198669e+01	1.739264106750e+01	1.914461135864e+01	1.892789268494e+01	1.907843971252e+01	1.508285045624e+01	1.548869037628e+01	1.417577648163e+01	1.442711830139e+01	1.655269813538e+01	1.571294212341e+01	1.506525039673e+01	1.545561408997e+01	1.680179977417e+01	1.493411540985e+01	1.378948879242e+01	1.599577522278e+01	1.651238250732e+01	1.653554153442e+01	1.738383293152e+01	1.186789226532e+01	1.794108772278e+01	1.525400257111e+01	1.442255973816e+01	1.789043045044e+01	1.693068885803e+01
1903	1.757506561279e+01	1.790285873413e+01	1.733289337158e+01	1.875104904175e+01	1.882724952698e+01	1.870665550232e+01	1.564293479919e+01	1.576124572754e+01	1.338273143768e+01	1.422905731201e+01	1.711053466797e+01	1.600601196289e+01	1.500685596466e+01	1.555193138123e+01	1.685539627075e+01	1.554521656036e+01	1.468255615234e+01	1.569946765900e+01	1.666024208069e+01	1.610972213745e+01	1.730018615723e+01	1.269234085083e+01	1.685818672180e+01	1.490022277832e+01	1.432816982269e+01	1.690095901489e+01	1.684428977966e+01
1904	1.773159980774e+01	1.745328140259e+01	1.739468193054e+01	1.907775115967e+01	1.857485198975e+01	1.856068038940e+01	1.542165660858e+01	1.601195907593e+01	1.384311485291e+01	1.430519485474e+01	1.690103912354e+01	1.547661304474e+01	1.520263385773e+01	1.508099555969e+01	1.658835792542e+01	1.431972026825e+01	1.406385993958e+01	1.424532222748e+01	1.662771606445e+01	1.603429985046e+01	1.756851005554e+01	1.215674495697e+01	1.686422157288e+01	1.473902893066e+01	1.400603580475e+01	1.708833122253e+01	1.721250152588e+01
1905	1.780014801025e+01	1.742055702209e+01	1.753154563904e+01	1.907592391968e+01	1.886269950867e+01	1.836214637756e+01	1.600982666016e+01	1.641921234131e+01	1.435774326324e+01	1.372765636444e+01	1.697867965698e+01	1.582627105713e+01	1.517374992371e+01	1.524070930481e+01	1.684030151367e+01	1.503217506409e+01	1.474130439758e+01	1.493828678131e+01	1.747579574585e+01	1.601769638062e+01	1.751723480225e+01	1.180545902252e+01	1.699046897888e+01	1.527978324890e+01	1.378232192993e+01	1.703589630127e+01	1.753285217285e+01
1906	1.730467033386e+01	1.762627601624e+01	1.734686470032e+01	1.945979690552e+01	1.938166236877e+01	1.868225479126e+01	1.608878898621e+01	1.622394943237e+01	1.417447471619e+01	1.470183658600e+01	1.676225852966e+01	1.583547306061e+01	1.538611030579e+01	1.610860252380e+01	1.684683036804e+01	1.427244567871e+01	1.499349594116e+01	1.465986728668e+01	1.696904182434e+01	1.603608512878e+01	1.696314430237e+01	1.147084426880e+01	1.677607345581e+01	1.528674507141e+01	1.406610870361e+01	1.725988769531e+01	1.697142982483e+01
1907	1.675933837891e+01	1.814586830139e+01	1.800075531006e+01	1.964440345764e+01	1.894828796387e+01	1.886824035645e+01	1.521328163147e+01	1.619857025146e+01	1.363135528564e+01	1.413273906708e+01	1.713086128235e+01	1.522260189056e+01	1.545675945282e+01	1.538213157654e+01	1.719681930542e+01	1.470274925232e+01	1.531304073334e+01	1.460761547089e+01	1.708212280273e+01	1.564772033691e+01	1.671353530884e+01	1.291012191772e+01	1.644973945618e+01	1.475464057922e+01	1.330179023743e+01	1.667368888855e+01	1.742336273193e+01
1908	1.667722702026e+01	1.791812896729e+01	1.751212882996e+01	1.914351654053e+01	1.899999237061e+01	1.943198013306e+01	1.514183807373e+01	1.647157478333e+01	1.399708938599e+01	1.401519966125e+01	1.668009567261e+01	1.526333236694e+01	1.543316173553e+01	1.513278102875e+01	1.713798141479e+01	1.460300350189e+01	1.508049583435e+01	1.463183689117e+01	1.707246589661e+01	1.546363353729e+01	1.710466003418e+01	1.431820297241e+01	1.686235427856e+01	1.470045661926e+01	1.380095005035e+01	1.677714920044e+01	1.747233390808e+01
1909	1.769297409058e+01	1.843684196472e+01	1.776374435425e+01	1.919134330750e+01	1.920556259155e+01	1.929228591919e+01	1.546538352966e+01	1.625869941711e+01	1.410740661621e+01	1.389836883545e+01	1.654910087585e+01	1.613388633728e+01	1.554505443573e+01	1.529984188080e+01	1.670249176025e+01	1.535195159912e+01	1.475280666351e+01	1.578150939941e+01	1.684880447388e+01	1.591360759735e+01	1.662546539307e+01	1.350835514069e+01	1.714075660706e+01	1.528395843506e+01	1.376727294922e+01	1.683217430115e+01	1.750695991516e+01
1910	1.716971206665e+01	1.792204093933e+01	1.755670928955e+01	1.889260482788e+01	1.867005538940e+01	1.876527786255e+01	1.512429428101e+01	1.552187728882e+01	1.391177463531e+01	1.412817764282e+01	1.656500244141e+01	1.567163944244e+01	1.503104686737e+01	1.574261283875e+01	1.703634071350e+01	1.549910640717e+01	1.339338016510e+01	1.450694942474e+01	1.708206939697e+01	1.544286251068e+01	1.717174720764e+01	1.426623249054e+01	1.713362503052e+01	1.512603569031e+01	1.369633674622e+01	1.699174118042e+01	1.733605384827e+01
