"year","Model","Temperature","RCP"
1901,"ACCESS1_0",17.18286323547,8.5
1902,"ACCESS1_0",18.05898666382,8.5
1903,"ACCESS1_0",17.57506561279,8.5
1904,"ACCESS1_0",17.73159980774,8.5
1905,"ACCESS1_0",17.80014801025,8.5
1906,"ACCESS1_0",17.30467033386,8.5
1907,"ACCESS1_0",16.75933837891,8.5
1908,"ACCESS1_0",16.67722702026,8.5
1909,"ACCESS1_0",17.69297409058,8.5
1910,"ACCESS1_0",17.16971206665,8.5
1911,"ACCESS1_0",17.08097267151,8.5
1912,"ACCESS1_0",16.90814590454,8.5
1913,"ACCESS1_0",16.25535392761,8.5
1914,"ACCESS1_0",16.81101036072,8.5
1915,"ACCESS1_0",17.21482467651,8.5
1916,"ACCESS1_0",17.41061782837,8.5
1917,"ACCESS1_0",17.22926521301,8.5
1918,"ACCESS1_0",17.99821472168,8.5
1919,"ACCESS1_0",17.69814109802,8.5
1920,"ACCESS1_0",18.27382469177,8.5
1921,"ACCESS1_0",18.02878189087,8.5
1922,"ACCESS1_0",18.28031730652,8.5
1923,"ACCESS1_0",18.01107597351,8.5
1924,"ACCESS1_0",17.71347808838,8.5
1925,"ACCESS1_0",16.80096435547,8.5
1926,"ACCESS1_0",16.90251922607,8.5
1927,"ACCESS1_0",16.78056716919,8.5
1928,"ACCESS1_0",17.06812286377,8.5
1929,"ACCESS1_0",18.08727836609,8.5
1930,"ACCESS1_0",16.84915542603,8.5
1931,"ACCESS1_0",17.64226722717,8.5
1932,"ACCESS1_0",16.537733078,8.5
1933,"ACCESS1_0",16.94596290588,8.5
1934,"ACCESS1_0",16.38289260864,8.5
1935,"ACCESS1_0",16.72263717651,8.5
1936,"ACCESS1_0",16.89754486084,8.5
1937,"ACCESS1_0",17.08521842957,8.5
1938,"ACCESS1_0",17.40240859985,8.5
1939,"ACCESS1_0",17.47129058838,8.5
1940,"ACCESS1_0",17.21329307556,8.5
1941,"ACCESS1_0",17.85919380188,8.5
1942,"ACCESS1_0",17.702709198,8.5
1943,"ACCESS1_0",18.62789916992,8.5
1944,"ACCESS1_0",17.40431976318,8.5
1945,"ACCESS1_0",17.61180496216,8.5
1946,"ACCESS1_0",17.80004501343,8.5
1947,"ACCESS1_0",17.70174598694,8.5
1948,"ACCESS1_0",17.79561424255,8.5
1949,"ACCESS1_0",17.73365592957,8.5
1950,"ACCESS1_0",17.39248657227,8.5
1951,"ACCESS1_0",17.68974494934,8.5
1952,"ACCESS1_0",17.99399375916,8.5
1953,"ACCESS1_0",17.19886779785,8.5
1954,"ACCESS1_0",16.65342140198,8.5
1955,"ACCESS1_0",17.75217247009,8.5
1956,"ACCESS1_0",17.5737323761,8.5
1957,"ACCESS1_0",17.49585533142,8.5
1958,"ACCESS1_0",17.81974601746,8.5
1959,"ACCESS1_0",17.93279838562,8.5
1960,"ACCESS1_0",17.55013275146,8.5
1961,"ACCESS1_0",17.77481460571,8.5
1962,"ACCESS1_0",17.69509506226,8.5
1963,"ACCESS1_0",16.74361419678,8.5
1964,"ACCESS1_0",16.42060279846,8.5
1965,"ACCESS1_0",16.78807258606,8.5
1966,"ACCESS1_0",17.32001495361,8.5
1967,"ACCESS1_0",16.99844932556,8.5
1968,"ACCESS1_0",17.81634140015,8.5
1969,"ACCESS1_0",17.72939872742,8.5
1970,"ACCESS1_0",17.90657043457,8.5
1971,"ACCESS1_0",17.25998878479,8.5
1972,"ACCESS1_0",17.03092956543,8.5
1973,"ACCESS1_0",17.6245059967,8.5
1974,"ACCESS1_0",17.98856163025,8.5
1975,"ACCESS1_0",17.60644340515,8.5
1976,"ACCESS1_0",17.75806427002,8.5
1977,"ACCESS1_0",17.16878890991,8.5
1978,"ACCESS1_0",17.27089691162,8.5
1979,"ACCESS1_0",17.97816085815,8.5
1980,"ACCESS1_0",17.58065032959,8.5
1981,"ACCESS1_0",17.59853172302,8.5
1982,"ACCESS1_0",17.52838134766,8.5
1983,"ACCESS1_0",16.74432945251,8.5
1984,"ACCESS1_0",18.00650405884,8.5
1985,"ACCESS1_0",16.77718162537,8.5
1986,"ACCESS1_0",17.38376808167,8.5
1987,"ACCESS1_0",17.63380432129,8.5
1988,"ACCESS1_0",17.63721466064,8.5
1989,"ACCESS1_0",18.95695495605,8.5
1990,"ACCESS1_0",17.74173164368,8.5
1991,"ACCESS1_0",17.67950248718,8.5
1992,"ACCESS1_0",18.19386863708,8.5
1993,"ACCESS1_0",17.76139831543,8.5
1994,"ACCESS1_0",17.36764717102,8.5
1995,"ACCESS1_0",17.52381896973,8.5
1996,"ACCESS1_0",18.20650482178,8.5
1997,"ACCESS1_0",18.04035186768,8.5
1998,"ACCESS1_0",17.34258270264,8.5
1999,"ACCESS1_0",17.99961280823,8.5
2000,"ACCESS1_0",18.87193489075,8.5
2001,"ACCESS1_0",17.6130771637,8.5
2002,"ACCESS1_0",18.40313148499,8.5
2003,"ACCESS1_0",17.92936706543,8.5
2004,"ACCESS1_0",17.90216445923,8.5
2005,"ACCESS1_0",18.1183681488,8.5
2006,"ACCESS1_0",18.35751152039,8.5
2007,"ACCESS1_0",18.96469688416,8.5
2008,"ACCESS1_0",18.47699356079,8.5
2009,"ACCESS1_0",18.01684379578,8.5
2010,"ACCESS1_0",17.76013755798,8.5
2011,"ACCESS1_0",18.32430267334,8.5
2012,"ACCESS1_0",18.15616798401,8.5
2013,"ACCESS1_0",18.50900650024,8.5
2014,"ACCESS1_0",17.53902244568,8.5
2015,"ACCESS1_0",17.24145698547,8.5
2016,"ACCESS1_0",17.87776374817,8.5
2017,"ACCESS1_0",18.31812667847,8.5
2018,"ACCESS1_0",18.04760360718,8.5
2019,"ACCESS1_0",18.66034126282,8.5
2020,"ACCESS1_0",18.51794433594,8.5
2021,"ACCESS1_0",17.95503616333,8.5
2022,"ACCESS1_0",18.40769195557,8.5
2023,"ACCESS1_0",19.29709625244,8.5
2024,"ACCESS1_0",18.47514724731,8.5
