Year,J1BiomassMT,SSBMT,Favg5x8,A1Recruitmentx1000
1978,118945,83600,0.4,29399
1979,130430,93607,0.41,27836
1980,136837,96864,0.52,22073
1981,134210,90633,0.51,44386
1982,131938,85290,0.69,20472
1983,110035,75533,0.68,10357
1984,94391,64591,0.62,29539
1985,81683,55094,0.87,9211
1986,80074,49640,0.58,47147
1987,89884,59852,0.55,16436
1988,94936,68021,0.64,26484
1989,85008,64395,0.54,18656
1990,83209,63060,0.73,11028
1991,76140,47513,0.89,24732
1992,59873,38311,0.85,8319
1993,44115,30554,0.93,9970
1994,28960,20581,1.1,7082
1995,25102,19220,0.68,3913
1996,27254,21311,0.6,7142
1997,28706,20202,0.87,10299
1998,27481,20042,0.79,4766
1999,29153,21636,0.76,11895
2000,30976,22256,0.62,6106
2001,32877,25624,0.83,2605
2002,25761,20459,0.76,3962
2003,19435,14960,0.8,1256
2004,15164,11860,0.54,6959
2005,13465,10121,0.65,1526
2006,13471,10441,0.5,3985
2007,14835,10970,0.65,5848
2008,17117,11520,0.58,5327
2009,22168,14725,0.42,8079
2010,24447,17168,0.29,8136
2011,29077,22217,0.23,7334
