Year,J1BiomassMT_cM,SSBMT_cM,J1BiomassMT_Mramp,SSBMT_mRamp,A1Recruitmentx1000_cM,A1Recruitmentx1000_mRamp
1982,38309,22036,37911,21531,10579,10904
1983,28575,16343,28332,15989,11545,11913
1984,23081,13454,22944,13186,11450,11755
1985,21526,12380,21459,12177,8912,9226
1986,20540,11537,20536,11390,14069,14398
1987,19892,11211,19955,11130,15005,15699
1988,20231,11621,20529,11694,27950,30113
1989,27593,15516,28621,15894,4279,4771
1990,34120,19988,35959,20821,4224,4931
1991,28227,17253,29861,18062,7479,9056
1992,18989,10842,20446,11473,7445,9558
1993,14097,7575,15633,8229,9665,13358
1994,13050,6988,15026,7930,3254,4846
1995,13276,7975,15939,9442,3451,5602
1996,13512,8371,16756,10245,2741,4862
1997,11364,7091,14959,9176,4503,8555
1998,9959,6268,13971,8621,3939,7851
1999,10577,6812,15878,9778,7865,16584
2000,15003,9070,22822,12976,4693,10157
2001,18755,11885,28082,17222,1170,2553
2002,17077,11951,25502,17208,5171,11472
2003,14334,10005,20786,13966,1904,4316
2004,12646,8594,18344,11878,6304,14342
2005,11038,7213,15800,9831,3922,8744
2006,10852,6752,16075,9311,6590,14456
2007,14311,8725,20846,11693,5296,11031
2008,16670,10282,22921,13297,4513,8695
2009,18506,11457,24493,14332,3532,6254
2010,17178,11141,21184,12979,2177,3511
2011,14728,9903,16312,10221,1175,1749
