"YEAR","T"
1905,7.3
1906,6.1
1907,5.9
1908,7.8
1909,8.1
1910,8.5
1911,8
1912,7.8
1913,8.7
1914,6.9
1915,6.5
1916,6.3
1917,4.8
1918,8.1
1919,8.1
1920,8.1
1921,8.5
1922,6.7
1923,7.8
1924,7
1925,6.7
1926,6.7
1927,7.8
1928,7.8
1929,6.7
1930,7.8
1931,7.8
1932,7.8
1933,7.8
1934,7
1935,7.8
1936,5.9
1937,8.9
1938,6.7
1939,6.7
1940,7.8
1941,7.8
1942,8.9
1943,7.8
1944,7.95
1945,8.3
1946,8.9
1947,8.9
1948,8.9
1949,4.7
1950,10.1
1951,10.8
1952,8.8
1953,11
1954,10.4
1955,10.35
1956,9.3
1957,9
1958,8.8
1959,8
1960,9.3
1961,7.9
1962,7.75
1963,8.95
1964,8.4
1965,7.45
1966,6.9
1967,6.5
1968,8.05
1969,9
1970,9.7
1971,8.7
1972,8.05
1973,8.5
1974,8.8
1975,10.2
1976,8.8
1977,9.4
1978,8.4
1979,10.1
1980,7.3
1981,9
1982,9.7
1983,9
1984,8.4
1985,9.1
1986,8.4
1987,7.5
1988,8.8
1989,8.9
1990,8.6
1991,9.1
1992,8.1
1993,8.4
1994,9.05
1995,10.1
1996,8.95
1997,7.5
1998,8.39
1999,9.69
2000,9.79
2001,10.12
2002,9.6
2003,9.49
2004,9.32
2005,10.9
2006,12.25
2007,8.76
2008,9.89
2009,9.5
2010,9.53
2011,9.95
2012,9.81
2013,9.36
2014,10.03
2015,7.748
2016,9.77
2017,9.31
