Stock,Total,Commercial,Sector,Common Pool,Recreational,Herring Fishery,Scallop Fishery,State Water,Other,Year,Small Mesh,data_type
GB Haddock,8542,8340.2,8248,92.2,NA,69.2,NA,1.6,131,2010,NA,Catch
GB Haddock,42768,40440,40186,254,NA,84,NA,449,1796,2010,NA,ACL
GB Haddock,20,20.6,20.5,36.3,NA,82.3,NA,0.3,7.3,2010,NA,CtoACL
GB Haddock,8430.8,8299.2,8207.4,91.8,NA,69.2,NA,1.6,60.9,2010,NA,Landing
GB Haddock,111.2,41,40.6,0.5,NA,0,NA,0,70.1,2010,NA,Discard
GB Haddock,4252,3840.5,3828.8,11.7,NA,101.8,NA,3.9,305.8,2011,NA,Catch
GB Haddock,32611,30580,30393,187,NA,318,NA,342,1370,2011,NA,ACL
GB Haddock,1.3,NA,0,6.3,NA,32,NA,1.1,22.3,2011,NA,CtoACL
GB Haddock,3883.1,3758.5,3746.8,11.7,NA,101.8,NA,3.9,19,2011,NA,Landing
GB Haddock,368.9,82,82,0,NA,0,NA,NA,286.8,2011,NA,Discard
GB Haddock,1525.5,1197.6,1197.1,0.5,NA,288.6,NA,14.2,25.1,2012,NA,Catch
GB Haddock,29260,27438,27363,75,NA,286,NA,307,1229,2012,NA,ACL
GB Haddock,1.1,0,NA,0.6,NA,100.9,NA,4.6,2,2012,NA,CtoACL
GB Haddock,1211.3,926.8,926.5,0.3,NA,271.9,NA,9.2,3.4,2012,NA,Landing
GB Haddock,314.2,270.7,270.6,0.2,NA,16.7,NA,5,21.7,2012,NA,Discard
GB Haddock,3330.1,2977.5,2977.1,0.4,NA,290,NA,6.1,56.5,2013,NA,Catch
GB Haddock,27936,26196,26111,85,NA,273,NA,293,1173,2013,NA,ACL
GB Haddock,11.9,11.4,11.4,0.5,NA,106.2,NA,2.1,4.8,2013,NA,CtoACL
GB Haddock,2969.9,2696.4,2696,0.4,NA,272.7,NA,0.2,0.5,2013,NA,Landing
GB Haddock,360.2,281.1,281.1,0,NA,17.2,NA,5.9,56,2013,NA,Discard
GB Haddock,6364,5449.1,5448.3,0.8,NA,113.5,NA,8.1,793.4,2014,NA,Catch
GB Haddock,18312,17171,17052,119,NA,162,NA,192,769,2014,NA,ACL
GB Haddock,34.8,31.7,32,0.7,NA,70.1,NA,4.2,103.1,2014,NA,CtoACL
GB Haddock,5108.1,4975.3,4974.6,0.7,NA,113.5,NA,0,19.3,2014,NA,Landing
GB Haddock,1255.9,473.7,473.6,0.1,NA,NA,NA,8.1,774.1,2014,NA,Discard
GB Haddock,6003.5,5074.7,5074.4,0.3,NA,235.5,NA,25,668.3,2015,NA,Catch
GB Haddock,23204,21759,21566,193,NA,227,NA,244,975,2015,NA,ACL
GB Haddock,25.9,23.3,23.5,0.1,NA,103.9,NA,10.3,68.6,2015,NA,CtoACL
GB Haddock,4461.4,4217.9,4217.7,0.2,NA,235,NA,6.6,1.8,2015,NA,Landing
GB Haddock,1542.2,856.7,856.7,0,NA,0.6,NA,18.4,666.5,2015,NA,Discard
GB Haddock,4790.7,4391.3,4390.3,1,NA,118.9,NA,14.1,266.4,2016,NA,Catch
GB Haddock,53309,51667,51328,339,NA,512,NA,561,561,2016,NA,ACL
GB Haddock,9,8.5,8.6,0.3,NA,23.2,NA,2.5,47.5,2016,NA,CtoACL
GB Haddock,3580.4,3445.7,3444.8,1,NA,115.3,NA,0.1,19.2,2016,NA,Landing
GB Haddock,1210.4,945.6,945.6,0,NA,3.6,NA,14,247.2,2016,NA,Discard
GB Haddock,4330.7,4090.5,4090.2,0.3,NA,47.9,NA,12.3,180,2017,NA,Catch
GB Haddock,54568,52620,52253,367,NA,801,NA,574,574,2017,NA,ACL
GB Haddock,7.9,7.8,7.8,0.1,NA,6,NA,2.1,31.4,2017,NA,CtoACL
GB Haddock,3581,3526.3,3526.1,0.3,NA,47.9,NA,0.3,6.4,2017,NA,Landing
GB Haddock,749.8,564.2,564.2,NA,NA,NA,NA,12,173.5,2017,NA,Discard
GB Haddock,5324.3,,,,,,,,,2018,NA,Catch
GB Haddock,46312,,,,,,,,,2018,NA,ACL
GB Haddock,11.5,,,,,,,,,2018,NA,CtoACL
GB Haddock,4763.8,,,,,,,,,2018,NA,Landing
GB Haddock,560.6,,,,,,,,,2018,NA,Discard
GB Haddock,5323.4,5294.1,5293.5,0.6,NA,0.2,NA,4.8,24.3,2019,NA,Catch
GB Haddock,55249,53276,52432,844,NA,811,NA,581,581,2019,NA,ACL
GB Haddock,9.6,9.9,10.1,0.1,NA,0,NA,0.8,4.2,2019,NA,CtoACL
GB Haddock,5080.7,5070.9,5070.3,0.6,NA,0.2,NA,0.1,9.6,2019,NA,Landing
GB Haddock,242.7,223.2,223.2,0,NA,NA,NA,4.7,14.7,2019,NA,Discard
GOM cod,5745.2,5497.1,3617.1,226,1654,NA,NA,190.3,57.8,2010,NA,Catch
GOM cod,8088,7240,4327,240,2673,NA,NA,566,283,2010,NA,ACL
GOM cod,71,75.9,83.6,94.2,61.9,NA,NA,33.6,20.4,2010,NA,CtoACL
GOM cod,5625.6,5386.4,3537.1,195.2,1654,NA,NA,190.3,49,2010,NA,Landing
GOM cod,119.6,110.7,79.9,30.8,NA,NA,NA,0,8.9,2010,NA,Discard
GOM cod,6347.1,6101.8,4368,93.4,1640.3,NA,NA,216.4,28.8,2011,NA,Catch
GOM cod,8545,7649,4721,104,2824,NA,NA,597,299,2011,NA,ACL
GOM cod,69.2,74.1,83.4,89.9,58.1,NA,NA,36.3,9.6,2011,NA,CtoACL
GOM cod,6158.2,5932.7,4222.6,69.8,1640.3,NA,NA,216.4,9.1,2011,NA,Landing
GOM cod,188.9,169.1,145.5,23.7,NA,NA,NA,NA,19.7,2011,NA,Discard
GOM cod,3903.8,3854.9,2181.1,29.9,1644,NA,NA,44.6,4.3,2012,NA,Catch
GOM cod,6700,6385,3619,80,2215,NA,NA,253,62,2012,NA,ACL
GOM cod,58.3,60.4,47.4,37.3,74.2,NA,NA,17.6,6.9,2012,NA,CtoACL
GOM cod,2761.9,2718.5,2058.9,24.9,634.6,NA,NA,42.7,0.8,2012,NA,Landing
GOM cod,1141.9,1136.4,122.1,5,1009.3,NA,NA,2,3.5,2012,NA,Discard
GOM cod,1418.8,1380.1,732,8.8,639.3,NA,NA,35.8,2.9,2013,NA,Catch
GOM cod,1470,1316,812,18,486,NA,NA,103,51,2013,NA,ACL
GOM cod,96.5,104.9,90.2,48.9,131.5,NA,NA,34.7,5.7,2013,NA,CtoACL
GOM cod,1294.7,1261.4,712.3,8.5,540.6,NA,NA,33.2,0.2,2013,NA,Landing
GOM cod,124.1,118.8,19.7,0.3,98.8,NA,NA,2.6,2.7,2013,NA,Discard
GOM cod,1394.9,1286.5,652.2,11.1,623.3,NA,NA,38.2,70.2,2014,NA,Catch
GOM cod,1470,1316,811,19,486,NA,NA,103,51,2014,NA,ACL
GOM cod,94.9,97.8,80.5,57.1,128.3,NA,NA,37.1,136.5,2014,NA,CtoACL
GOM cod,1144.1,1107.2,628.2,10.8,468.2,NA,NA,36.4,0.6,2014,NA,Landing
GOM cod,250.7,179.3,24,0.2,155.1,NA,NA,1.8,69.6,2014,NA,Discard
GOM cod,324.8,270.9,181.6,4.8,84.5,NA,NA,46.4,7.5,2015,NA,Catch
GOM cod,366,328,201,6,121,NA,NA,26,13,2015,NA,ACL
GOM cod,88.8,82.6,90.2,86.3,69.8,NA,NA,181.2,58.8,2015,NA,CtoACL
GOM cod,229.3,176.9,168.1,4.3,4.5,NA,NA,45.9,6.5,2015,NA,Landing
GOM cod,95.5,94,13.5,0.5,80,NA,NA,0.5,1,2015,NA,Discard
GOM cod,633.7,547.4,260.4,6.1,280.9,NA,NA,77.3,9,2016,NA,Catch
GOM cod,473,437,271,9,157,NA,NA,27,10,2016,NA,ACL
GOM cod,134,125.3,96,68.8,178.9,NA,NA,286.3,89.9,2016,NA,CtoACL
GOM cod,433.4,350.8,250.5,5.9,94.5,NA,NA,76.9,5.7,2016,NA,Landing
GOM cod,200.2,196.6,9.9,0.3,186.4,NA,NA,0.4,3.3,2016,NA,Discard
GOM cod,612.6,514.3,260.6,8.2,245.4,NA,NA,69.5,28.9,2017,NA,Catch
GOM cod,473,437,271,9,157,NA,NA,27,10,2017,NA,ACL
GOM cod,129.5,117.6,96.1,89.9,156.3,NA,NA,257.2,289.1,2017,NA,CtoACL
GOM cod,368.3,276.8,246.5,3.8,26.6,NA,NA,68.7,22.7,2017,NA,Landing
GOM cod,244.4,237.4,14.1,4.5,218.8,NA,NA,0.7,6.2,2017,NA,Discard
GOM cod,504.5,,,,,,,,,2018,NA,Catch
GOM cod,666,,,,,,,,,2018,NA,ACL
GOM cod,75.7,,,,,,,,,2018,NA,CtoACL
GOM cod,352.1,,,,,,,,,2018,NA,Landing
GOM cod,152.4,,,,,,,,,2018,NA,Discard
GOM cod,396.8,366.4,280.9,5.8,79.8,NA,NA,28.9,1.5,2019,NA,Catch
GOM cod,666,610,350,11,220,NA,NA,47,9,2019,NA,ACL
GOM cod,59.6,60.1,80.3,53.3,36.3,NA,NA,61.4,17.1,2019,NA,CtoACL
GOM cod,325.5,296.3,268.7,4.4,23.3,NA,NA,28.5,0.6,2019,NA,Landing
