"YEAR","T"
1901,16.3017578125
1902,16.51238250732
1903,16.10972213745
1904,16.03429985046
1905,16.41921234131
1906,16.22394943237
1907,16.19857025146
1908,16.47157478333
1909,16.25869941711
1910,15.74261283875
1911,16.20085716248
1912,16.02757263184
1913,16.11604690552
1914,16.11236953735
1915,16.68037986755
1916,16.1206035614
1917,16.37424659729
1918,16.4584941864
1919,16.39509773254
1920,16.5657787323
1921,16.21649169922
1922,16.36949920654
1923,16.33476638794
1924,16.24180793762
1925,16.19172477722
1926,16.11598587036
1927,16.10563087463
1928,16.28088378906
1929,15.78823375702
1930,16.13582420349
1931,16.47746276855
1932,16.36840057373
1933,16.53204727173
1934,16.38289260864
1935,16.26077651978
1936,16.48624229431
1937,16.37841415405
1938,16.26134109497
1939,16.07251930237
1940,16.11514663696
1941,16.49076652527
1942,17.20885658264
1943,16.49817657471
1944,16.89867591858
1945,16.32798194885
1946,16.26551055908
1947,16.26687240601
1948,16.27756309509
1949,16.46380233765
1950,16.47389030457
1951,16.52019119263
1952,16.43612098694
1953,16.67599105835
1954,16.65342140198
1955,16.63647270203
1956,16.26701164246
1957,16.21660232544
1958,16.99143028259
1959,16.44860839844
1960,16.45133399963
1961,16.32062530518
1962,16.03918838501
1963,16.15082550049
1964,16.31806755066
1965,16.28534507751
1966,16.23808860779
1967,16.45574569702
1968,16.35660552979
1969,16.21633529663
1970,16.35465431213
1971,16.76178359985
1972,16.56237602234
1973,16.47225189209
1974,16.62716674805
1975,16.26949501038
1976,16.44958877563
1977,16.39849662781
1978,16.42594528198
1979,16.72319793701
1980,16.92882919312
1981,17.06908035278
1982,16.96397972107
1983,16.58745002747
1984,16.77373695374
1985,16.75244903564
1986,17.10014343262
1987,17.0062713623
1988,16.39998054504
1989,16.99110794067
1990,16.95992660522
1991,16.77369880676
1992,16.64992904663
1993,16.40440559387
1994,16.94897842407
1995,16.67413711548
1996,16.93781089783
1997,17.08571052551
1998,17.19276046753
1999,17.17790985107
2000,17.0634765625
2001,17.44605827332
2002,17.19169235229
2003,17.02218818665
2004,16.81171798706
2005,16.80021095276
2006,17.11912918091
2007,17.48714065552
2008,17.24682807922
2009,17.47528266907
2010,17.475233078
2011,17.51681137085
2012,17.54384803772
2013,17.49266624451
2014,17.53902244568
2015,17.42595672607
2016,17.29508972168
2017,17.7542552948
2018,17.87344551086
2019,18.00952148438
2020,17.49207687378
2021,17.73257064819
2022,17.39771461487
2023,17.41021728516
2024,17.33129310608
2025,17.60527420044
2026,17.62437057495
2027,17.40672111511
2028,17.96065330505
2029,17.88330459595
2030,18.01349639893
2031,18.09793281555
2032,18.22909736633
2033,18.2276134491
2034,17.87759399414
2035,17.76730918884
2036,17.78954315186
2037,18.05101585388
2038,18.02160072327
2039,18.25523948669
2040,18.2211856842
2041,18.40598678589
2042,18.58657455444
2043,18.17324829102
2044,18.42499351501
2045,18.45106124878
2046,18.47742652893
2047,18.14132499695
2048,18.2866153717
2049,18.35501289368
2050,18.39632415771
2051,18.51486206055
2052,18.35537147522
2053,18.74040412903
2054,18.76886367798
2055,18.5336227417
2056,18.67205429077
2057,18.62057495117
2058,18.64594841003
2059,18.83857727051
2060,19.18440246582
2061,18.9455947876
2062,18.85465431213
2063,19.17432594299
2064,18.88201522827
2065,19.53216934204
2066,19.27172851562
2067,19.32133102417
2068,19.21738624573
2069,19.25252914429
2070,19.27678871155
2071,19.18553161621
2072,19.39968109131
2073,19.28461837769
2074,19.37687492371
2075,19.43685722351
2076,20.05510520935
2077,19.45464134216
2078,19.74925804138
2079,19.58752632141
2080,20.05589866638
2081,19.87404632568
2082,19.91202163696
2083,19.64066123962
2084,19.49271392822
2085,19.77949905396
2086,19.9391040802
2087,20.18053627014
2088,19.96044540405
2089,19.88782310486
2090,19.96050643921
2091,20.14727020264
2092,20.72000312805
2093,20.38561058044
2094,20.77065467834
2095,20.57025527954
2096,20.58482933044
2097,20.27767944336
2098,20.95042228699
2099,20.46250343323
