	GILLNETS_AmericanLobster_1		GILLNETS_CodGB_1		GILLNETS_CodGOM_1		GILLNETS_HaddockGOM_1		GILLNETS_Monkfish_1		GILLNETS_Other_1		GILLNETS_Pollock_1		GILLNETS_Skates_1		GILLNETS_SpinyDogfish_1		GILLNETS_WhiteHake_1		GILLNETS_YellowtailFlounderCCGOM_1		TRAWL_AmericanPlaiceFlounder_1		TRAWL_CodGB_1		TRAWL_CodGOM_1		TRAWL_HaddockGB_1		TRAWL_HaddockGOM_1		TRAWL_Monkfish_1		TRAWL_Other_1		TRAWL_Pollock_1		TRAWL_RedSilverOffshoreHake_1		TRAWL_Redfish_1		TRAWL_SeaScallop_1		TRAWL_SquidMackerelButterfishHerring_1		TRAWL_SummerFlounder_1		TRAWL_WhiteHake_1		TRAWL_WinterFlounderGB_1		TRAWL_WinterFlounderGOM_1		TRAWL_WitchFlounder_1		TRAWL_YellowtailFlounderCCGOM_1		TRAWL_YellowtailFlounderGB_1		TRAWL_YellowtailFlounderSNEMA_1	
Number of Crew (Log)	.2695955	0.000	-.1940505	0.150	.1006063	0.001	-.13144	0.371	.2478808	0.000	.0200025	0.634	.4093123	0.000	.6332986	0.000	.0041605	0.924	.2772826	0.000	.4944063	0.000	-.1537058	0.000	.1576195	0.000	.0061427	0.849	.3437046	0.000	.1201103	0.014	-.18428	0.000	.2318747	0.000	.0674709	0.020	.5899054	0.000	-.1765985	0.000	.5505144	0.000	.2190446	0.000	-.0973103	0.004	-.1884748	0.000	.3918041	0.000	.1431192	0.024	.0500644	0.018	-.0319491	0.560	.2338977	0.007	.0321833	0.729
Trip Length Days (Log)	.4963688	0.000	.3876753	0.004	.0907928	0.000	.0631807	0.548	.3699495	0.000	.0295656	0.336	.2495331	0.000	.3263798	0.000	.0916482	0.001	.480552	0.000	.533446	0.000	.6196518	0.000	.7168447	0.000	.175259	0.000	.3769158	0.000	.2159417	0.000	.6096829	0.000	.1521245	0.000	.701183	0.000	.02714	0.346	.8022296	0.000	.3973307	0.000	.2643754	0.000	.2820933	0.000	1.084508	0.000	1.143009	0.000	.4530643	0.000	.5271874	0.000	.6235505	0.000	.9051771	0.000	.8313656	0.000
Primary Target	1.053355	0.000	1.551833	0.000	1.518377	0.000	1.852925	0.000	2.245002	0.000	1.834868	0.000	1.69756	0.000	2.351996	0.000	1.885744	0.000	1.476258	0.000	1.954333	0.000	1.385363	0.000	1.794473	0.000	1.951086	0.000	2.252319	0.000	2.28609	0.000	1.574125	0.000	2.683256	0.000	1.960294	0.000	2.543741	0.000	2.520486	0.000	2.753216	0.000	2.822517	0.000	1.38394	0.000	1.325798	0.000	1.794983	0.000	1.205537	0.000	1.546761	0.000	1.727667	0.000	1.897048	0.000	1.567131	0.000
Secondary Target	.4932743	0.000	.6529862	0.000	.6208462	0.000	.7978801	0.000	1.043755	0.000	.6218338	0.000	.7803439	0.000	1.082824	0.000	1.040217	0.000	.7185818	0.000	.8944845	0.000	.9284914	0.000	.9868986	0.000	1.033673	0.000	1.243283	0.000	1.147711	0.000	.8955672	0.000	1.078146	0.000	1.237332	0.000	1.138946	0.000	1.686879	0.000	.8094568	0.000	1.097819	0.000	.6376696	0.000	.8428661	0.000	1.021476	0.000	.59336	0.000	.895429	0.000	.9339618	0.000	1.019082	0.000	.8346293	0.000
Trawl Survey Biomass (Log)	.2465483	0.006	.0095943	0.945	.3543431	0.000	.0149916	0.545	-.5438629	0.000			-.0640155	0.000	.4241971	0.004	.0255766	0.393	.2255359	0.000	-.1188837	0.310	.148834	0.000	.0668669	0.004	.3417909	0.000	.4997672	0.000	.166409	0.000	-.1472672	0.000			-.0861234	0.000	-.4502664	0.000	.0756607	0.050	.0976412	0.000	-.1054199	0.161	.2177135	0.000	-.0395611	0.003	.2778056	0.000	-.5034286	0.000	.0765203	0.000	-.1326581	0.009	-.0545287	0.021	.0695335	0.000
Sector ACL (Log)			.1987026	0.001	.1868153	0.000	.1171296	0.004					1.384709	0.000					-.5794905	0.000	-.0913962	0.144	-.0400817	0.000	.1042168	0.000	.1324487	0.000	1.108543	0.000	.135981	0.000					1.304816	0.000			.1983138	0.000							-.974747	0.000	-.0520809	0.022	-.0782348	0.004	.1551762	0.000	-.1071951	0.000	.5091647	0.000	.0697918	0.166
Month=1	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.
Month=2	-.4171454	0.000	.1226875	0.490	-.006886	0.886	-.3303324	0.017	.0021237	0.973	.1351459	0.006	-.1551856	0.004	-.355278	0.043	.2064234	0.232	.106923	0.100	.1839579	0.012	-.1170864	0.000	.1726797	0.000	.1851273	0.000	-.1379045	0.000	.006653	0.811	.0883486	0.000	-.1208871	0.000	.0720734	0.000	.4009809	0.000	-.1165554	0.000	.0336929	0.520	-.2606401	0.000	.433701	0.000	.0941204	0.000	-.1866814	0.027	.1866496	0.000	.0423892	0.003	.0181081	0.701	-.3236038	0.000	-.1678531	0.000
Month=3	-.7595142	0.000	-.5814644	0.001	-.2491127	0.000	-.1890479	0.078	.3771192	0.000	-.2697712	0.000	-.3682329	0.000	-.3053435	0.013	.1816598	0.491	-.2853944	0.000	.2133289	0.007	-.1532932	0.000	.0976558	0.000	.2603303	0.000	-.0066134	0.765	-.1365858	0.000	.0754304	0.000	-.2002591	0.000	.0612933	0.000	.4969085	0.000	-.1606176	0.000	.1601637	0.001	-.6202933	0.000	.4044766	0.000	.0018885	0.895	.1899264	0.000	.2814341	0.000	.0299573	0.029	.2076146	0.000	-.2557152	0.000	-.4427966	0.000
Month=4	-.5727595	0.000	-1.088993	0.000	-.0947225	0.014	-.0158542	0.874	.5674543	0.000	-.3053673	0.000	-.2834275	0.000	-.1358589	0.250	-.0177312	0.902	-.285554	0.000	.3041219	0.032	-.3267331	0.000	.1639108	0.000	.1572525	0.000	.3629197	0.000	-.0890347	0.003	-.1058088	0.000	-.0974153	0.000	-.090435	0.000	.53243	0.000	-.1971909	0.000	.2856582	0.000	-.526947	0.000	.0668602	0.003	-.2406214	0.000	.6136279	0.000	.7499941	0.000	-.167956	0.000	.3388049	0.000	.5790501	0.000	-.2652093	0.000
