	GILLNETS_AmericanLobster_0		GILLNETS_CodGB_0		GILLNETS_CodGOM_0		GILLNETS_HaddockGOM_0		GILLNETS_Monkfish_0		GILLNETS_Other_0		GILLNETS_Pollock_0		GILLNETS_Skates_0		GILLNETS_SpinyDogfish_0		GILLNETS_WhiteHake_0		GILLNETS_YellowtailFlounderCCGOM_0		TRAWL_AmericanPlaiceFlounder_0		TRAWL_CodGB_0		TRAWL_CodGOM_0		TRAWL_HaddockGB_0		TRAWL_HaddockGOM_0		TRAWL_Monkfish_0		TRAWL_Other_0		TRAWL_Pollock_0		TRAWL_RedSilverOffshoreHake_0		TRAWL_Redfish_0		TRAWL_SeaScallop_0		TRAWL_SquidMackerelButterfishHerring_0		TRAWL_SummerFlounder_0		TRAWL_WhiteHake_0		TRAWL_WinterFlounderGB_0		TRAWL_WinterFlounderGOM_0		TRAWL_WitchFlounder_0		TRAWL_YellowtailFlounderCCGOM_0		TRAWL_YellowtailFlounderGB_0		TRAWL_YellowtailFlounderSNEMA_0	
Number of Crew (Log)	.2382218	0.000	.1322432	0.389	.191697	0.000	.2246	0.005	.2171899	0.000	.2940273	0.000	.436703	0.000	.2876497	0.003	.2175965	0.000	.2794413	0.000	.0340651	0.562	-.1006517	0.000	-.0186549	0.559	.131187	0.000	.235698	0.000	.2160261	0.000	-.024711	0.201	.3450184	0.000	.2215224	0.000	.2403157	0.000	.0635059	0.172	.4059152	0.000	.4538657	0.000	-.0419098	0.181	.0223993	0.544	.7387839	0.000	.1768954	0.000	.1076687	0.000	.1145399	0.000	.1360859	0.008	-.2335524	0.000
Trip Length Days (Log)	.2663497	0.000	.0084485	0.910	-.1065071	0.000	.2649876	0.000	.2583646	0.000	.2277098	0.000	.5089759	0.000	-.0244878	0.571	.2106058	0.000	.5107538	0.000	.0167912	0.388	.4843818	0.000	.5338396	0.000	-.0195249	0.044	.6116619	0.000	.4395643	0.000	.6109242	0.000	.1826841	0.000	.2738906	0.000	.0414147	0.171	.1513407	0.003	.4779351	0.000	.3664791	0.000	.2011582	0.000	.7954321	0.000	1.148706	0.000	.3145947	0.000	.531673	0.000	.2836177	0.000	.2955129	0.001	.2647022	0.000
Primary Target	1.302877	0.000	1.493227	0.000	1.346448	0.000	1.951641	0.000	2.229232	0.000	2.127659	0.000	2.016915	0.000	2.976419	0.000	1.161053	0.000	1.515955	0.000	.9522512	0.000	1.396243	0.000	1.409097	0.000	1.844371	0.000	2.371708	0.000	1.992135	0.000	1.547229	0.000	2.442024	0.000	2.366834	0.000	2.657661	0.000	2.493037	0.000	2.933938	0.000	2.80789	0.000	1.664887	0.000	1.244965	0.000	1.497432	0.000	1.35237	0.000	1.527643	0.000	.9269688	0.000	1.782545	0.000	.7274486	0.000
Secondary Target	.5242574	0.000	.6375955	0.000	.664614	0.000	.6661344	0.000	1.029526	0.000	.6686933	0.000	.962565	0.000	1.13658	0.000	.415081	0.000	.8081158	0.000	.5602545	0.000	.9269836	0.000	.9919653	0.000	.9842816	0.000	1.236238	0.000	.9516018	0.000	.8411754	0.000	1.086378	0.000	1.479813	0.000	1.157596	0.000	1.86019	0.000	.8396018	0.000	1.194924	0.000	.7212656	0.000	.8093552	0.000	.9815221	0.000	.6321672	0.000	.9006927	0.000	.5186768	0.000	.992835	0.000	.4707455	0.000
Trawl Survey Biomass (Log)	.1438801	0.001	-.1064483	0.298	.000718	0.946	.0489684	0.378	.2188096	0.000			.1138588	0.000	.2056421	0.000	.0288829	0.214	.0136073	0.783	-.5205996	0.000	-.1098765	0.000	.1669413	0.000	-.0379523	0.001	.0609255	0.000	.1333001	0.000	.1537483	0.000			.0219036	0.002	-.0410501	0.020	-.0991906	0.000	-.027038	0.188	-.0084219	0.791	.2026464	0.000	.137446	0.000	.1269648	0.000	-.0208257	0.622	-.7326551	0.000	-.0697651	0.003	.0804473	0.002	-.0586993	0.003
Sector ACL (Log)																																																														
Month=1	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.	0	.
Month=2	-.4031034	0.000	.1529237	0.303	-.0517533	0.004	.2563884	0.002	.1854772	0.000	.0899341	0.031	-.1034297	0.045	.1627453	0.123	-.1478558	0.430	.2315828	0.004	.0190785	0.523	-.0703593	0.000	.285023	0.000	.0649994	0.000	.1476385	0.000	.1397941	0.000	.1415663	0.000	.0510997	0.000	.1003477	0.000	.3489603	0.000	-.0704157	0.010	-.1581074	0.003	.178331	0.000	.3227917	0.000	-.0569387	0.005	-.20307	0.000	-.1838801	0.000	.0982869	0.000	-.0047805	0.812	.4505287	0.000	-.0551619	0.146
Month=3	-.7447748	0.000	.1437754	0.241	-.2499634	0.000	.5631727	0.000	.2315705	0.000	-.0603878	0.093	-.2280557	0.000	.1915398	0.031	-.3725184	0.341	-.3143285	0.000	.114843	0.000	-.4345169	0.000	.1766542	0.000	.0266028	0.059	.0511415	0.016	.1012995	0.000	-.0549001	0.000	-.1177015	0.000	-.11967	0.000	.5347745	0.000	-.0254281	0.302	-.1777835	0.000	.0940208	0.001	.3339676	0.000	-.3237497	0.000	-.0906003	0.031	.0599381	0.010	-.066694	0.000	.0802825	0.000	-.0789812	0.017	-.1367865	0.000
Month=4	-.624905	0.000	-.063702	0.615	-.484163	0.000	.3918626	0.000	.2809925	0.000	-.3289048	0.000	-.4198515	0.000	.2405991	0.012	-.9701094	0.000	-.2462136	0.000	-.5095741	0.000	-.6766209	0.000	.2965009	0.000	-.1687315	0.000	.5241996	0.000	.1894732	0.000	-.1969999	0.000	-.0783692	0.000	-.5133501	0.000	.3696446	0.000	-.2204397	0.000	-.04509	0.274	-.0142841	0.617	.1018815	0.000	-.7045456	0.000	.2635873	0.000	-.0972053	0.075	-.2633639	0.000	-.3541373	0.000	.2099802	0.000	-.0318426	0.335
