1,2,3,4,5,6,7,8,9,N
0.75,0.78,1.18,1.37,1.65,2.01,2.31,2.54,3.03,188951
0.64,0.85,1.09,1.82,1.89,2.19,2.74,2.93,3.2,164565
0.54,0.73,1.35,1.42,1.73,2.39,2.46,2.59,2.6,151591
0.42,0.73,1.13,1.49,1.75,2.11,2.54,2.85,2.98,155335
0.46,0.87,1.22,1.6,1.79,1.98,2.56,2.79,3.42,167739
0.51,0.81,1.19,1.56,1.72,2.09,2.35,2.63,3.32,165336
0.48,0.87,1.24,1.52,1.94,2.19,2.82,3.08,3.56,208949
0.56,0.87,1.37,1.76,2.16,2.3,2.67,2.75,3.71,216158
0.57,0.82,1.18,1.64,1.98,2.48,2.66,2.96,3.42,202501
0.56,0.89,1.27,1.59,1.87,2.34,2.9,3.1,3.87,237382
0.52,0.79,1.2,1.57,1.87,2.31,2.67,2.93,3.52,277614
0.52,0.79,1.15,1.46,1.71,2.03,2.64,3.15,3.38,243027
0.52,0.73,0.99,1.43,1.69,1.89,2.34,2.84,3.37,181680
0.62,0.8,1.09,1.4,1.87,2.31,2.61,3.07,3.68,180068
0.58,0.84,1.24,1.57,1.93,2.37,2.69,3.23,3.35,169422
0.52,0.78,1.2,1.63,1.83,2.22,2.7,3.28,4.18,208296
0.58,0.73,1.15,1.61,2.02,2.36,2.79,3.06,3.32,196971
0.52,0.67,1.04,1.54,1.94,2.35,2.69,3.16,3.5,156589
0.54,0.73,0.99,1.44,1.94,2.4,2.72,3.2,3.69,215387
0.43,0.68,1.07,1.33,1.8,2.24,2.6,3.26,3.42,203172
0.53,0.7,0.95,1.4,1.79,2.34,2.81,3.11,3.3,231479
0.488,0.69,0.94,1.29,1.71,2.22,2.54,3.13,3.49,192843
0.55,0.64,0.94,1.19,1.62,2.02,2.37,2.71,3.31,249602
0.44,0.77,0.9,1.27,1.49,1.82,2.24,2.43,3.08,249602
0.58,0.83,1.08,1.29,1.67,1.95,2.32,2.53,2.96,232502
0.42,0.84,1.04,1.38,1.7,2.13,2.43,2.88,3.62,220557
0.54,0.8,1.11,1.41,1.77,2.08,2.41,2.77,3.11,204634
0.67,0.82,1.12,1.35,1.77,2.25,2.63,2.93,3.39,193586
0.56,0.85,1.15,1.45,1.8,2.18,2.57,3.05,3.52,264238
0.6,0.81,1.22,1.55,1.92,2.47,2.94,3.26,3.78,314780
0.52,0.84,1.11,1.54,1.87,2.26,2.54,2.88,3.24,282883
0.54,0.85,1.07,1.41,1.77,2.14,2.47,2.62,3.29,237143
0.57,0.87,1.18,1.47,1.68,2.15,2.35,3.04,3.1,345599
0.5,0.83,1.12,1.43,1.64,2.01,2.4,2.64,2.97,708424
0.58,0.69,1.03,1.35,1.67,1.99,2.26,2.66,3.11,563523
0.58,0.73,0.89,1.26,1.7,2.07,2.28,2.87,3.18,283817
0.66,0.7,0.95,1.18,1.42,2.05,2.31,2.66,3.1,123980
0.59,0.81,1.05,1.32,1.57,2.1,2.32,2.62,2.86,67362
0.52,0.78,1.1,1.69,1.75,1.99,2.52,2.99,3.63,33515
0.71,1.27,1.22,1.93,2.19,2.39,2.58,3.23,3.75,22685
0.67,1.03,1.31,1.74,2.39,2.81,2.92,3.1,3.72,14264
0.62,1.03,1.74,2.04,2.42,2.92,3.06,3.44,3.66,17789
0.6,1.03,1.58,2.13,2.41,3.29,3.42,3.86,3.94,31112
0.72,1.06,1.82,2.32,2.83,3.76,4.05,3.92,4.26,33581
0.62,0.98,1.63,2.21,2.2,2.94,4,4.05,4.33,27980
0.5,0.99,1.39,1.99,2.66,3.08,3.69,4.67,4.94,125385
0.53,1.07,1.44,2.17,2.73,3.21,4.15,4,4.99,113794
0.53,0.94,1.5,2.04,2.79,3.19,3.37,3.61,5.11,79501
0.53,1,1.28,2.02,2.51,3.14,3.78,3.79,4.87,133776
0.55,0.94,1.21,1.73,2.17,2.82,3.6,3.56,3.87,110995
0.39,0.87,1.24,1.83,2.3,2.72,3.71,4.04,4.44,62506
0.22,0.97,1.45,1.88,2.37,2.76,3.24,3.96,4.09,37817
0.33,1.02,1.37,1.83,2.21,2.65,3.25,3.36,4.27,26015
0.33,0.92,1.32,1.83,2.2,2.67,2.96,3.41,3.72,34063
0.33,0.99,1.39,1.98,2.46,2.72,3.06,3.72,3.8,25945
0.45,0.94,1.36,1.83,2.56,2.83,2.96,3.46,3.78,33540
0.43,0.83,1.43,2,2.25,2.63,3.02,3.77,4.29,26333
0.42,0.98,1.34,1.68,2.06,2.45,2.97,3.49,3.96,37167
0.53,0.89,1.48,1.79,2.21,2.57,3.24,3.56,3.82,28090
0.64,0.97,1.48,1.78,2.12,2.55,2.81,2.99,4.16,23212
0.581,1.201,1.311,1.817,2.183,2.645,2.852,3.048,4.337,18422
0.538,1.175,1.639,1.768,2.186,2.519,2.967,3.365,4.267,21848
0.659,1.169,1.728,2.171,2.119,2.628,2.649,3.123,4.014,29869
0.447,1.093,1.643,2.209,2.628,2.728,2.902,3.783,4.546,37193
0.429,0.967,1.489,2.025,2.542,2.815,3.275,3.091,3.981,40128
0.456,1.098,1.497,1.838,2.325,2.543,3.423,3.516,3.712,42964
0.416,0.998,1.69,1.891,2.213,2.547,3.14,3.38,3.655,55568
0.511,0.968,1.485,1.917,2.333,2.688,3.027,3.038,4.07,57277
0.678,1.101,1.527,1.83,2.111,2.339,2.697,2.973,3.682,89513
0.664,1.133,1.464,1.893,2.252,2.372,2.732,2.991,3.298,80195
0.358,1.173,1.459,1.754,2.157,2.526,2.627,2.728,3.411,139429
0.305,0.91,1.336,1.735,1.949,2.474,3.127,3.069,3.338,113232
0.258,0.647,1.36,1.614,1.855,2.047,2.52,3.09,3.166,87717
0.212,0.394,1.001,1.497,1.666,1.953,2.071,2.468,2.914,314480
0.180179402,0.565943514,1.052327285,1.453031537,1.668786064,1.831056334,2.031172265,2.132173354,2.630968303,251793
0.193638819,0.476938514,0.950227914,1.063754996,1.608786662,1.780898318,1.885616912,2.063851566,2.30780325,207212
0.187,0.413,0.935,1.147,1.361,1.635,1.825,1.701,2.105,163695
0.362443067,0.750760136,0.998675243,1.222021983,1.372545148,1.582523264,1.696314803,1.939623662,2.140048176,126262
0.528377004,0.841238599,1.004178683,1.241102899,1.403031468,1.535810766,1.659677069,2.116473091,2.1285566,90098
