"YEAR","T","DOWN_T","TANOM","TANOM_STD","STOCKAREA","SSBMT","REC000S","SSBRF0","STOCK","SOURCE"
1960,16.45133399963,9.61567334663069,0.0823841094949991,9.53328923713569,"GOM",137525,122245,4.5,"GBHAD","2017HaddockUpdateAssessment"
1960,16.45133399963,5.65451353072213,0.0823841094949991,5.57212942122713,"GB",137525,122245,4.5,"GBHAD","2017HaddockUpdateAssessment"
1961,16.32062530518,9.48496465218069,-0.0483245849550009,9.53328923713569,"GOM",171975,54312,4.5,"GBHAD","2017HaddockUpdateAssessment"
1961,16.32062530518,5.52380483627213,-0.0483245849550009,5.57212942122713,"GB",171975,54312,4.5,"GBHAD","2017HaddockUpdateAssessment"
1962,16.03918838501,5.24236791610213,-0.329761505124999,5.57212942122713,"GB",179431,39050,4.5,"GBHAD","2017HaddockUpdateAssessment"
1962,16.03918838501,9.20352773201069,-0.329761505124999,9.53328923713569,"GOM",179431,39050,4.5,"GBHAD","2017HaddockUpdateAssessment"
1963,16.15082550049,5.35400503158213,-0.218124389644998,5.57212942122713,"GB",163737,188241,4.5,"GBHAD","2017HaddockUpdateAssessment"
1963,16.15082550049,9.31516484749069,-0.218124389644998,9.53328923713569,"GOM",163737,188241,4.5,"GBHAD","2017HaddockUpdateAssessment"
1964,16.31806755066,5.52124708175213,-0.0508823394749989,5.57212942122713,"GB",167402,460816,4.5,"GBHAD","2017HaddockUpdateAssessment"
1964,16.31806755066,9.48240689766069,-0.0508823394749989,9.53328923713569,"GOM",167402,460816,4.5,"GBHAD","2017HaddockUpdateAssessment"
1965,16.28534507751,9.44968442451069,-0.0836048126249977,9.53328923713569,"GOM",217565,32513,4.5,"GBHAD","2017HaddockUpdateAssessment"
1965,16.28534507751,5.48852460860213,-0.0836048126249977,5.57212942122713,"GB",217565,32513,4.5,"GBHAD","2017HaddockUpdateAssessment"
1966,16.23808860779,5.44126813888213,-0.130861282344998,5.57212942122713,"GB",186839,4155,4.5,"GBHAD","2017HaddockUpdateAssessment"
1966,16.23808860779,9.40242795479069,-0.130861282344998,9.53328923713569,"GOM",186839,4155,4.5,"GBHAD","2017HaddockUpdateAssessment"
1967,16.45574569702,5.65892522811213,0.0867958068850001,5.57212942122713,"GB",106435,14013,4.5,"GBHAD","2017HaddockUpdateAssessment"
1967,16.45574569702,9.62008504402069,0.0867958068850001,9.53328923713569,"GOM",106435,14013,4.5,"GBHAD","2017HaddockUpdateAssessment"
1968,16.35660552979,9.52094487679069,-0.0123443603450006,9.53328923713569,"GOM",71846,542,4.5,"GBHAD","2017HaddockUpdateAssessment"
1968,16.35660552979,5.55978506088213,-0.0123443603450006,5.57212942122713,"GB",71846,542,4.5,"GBHAD","2017HaddockUpdateAssessment"
1969,16.21633529663,9.38067464363069,-0.152614593505,9.53328923713569,"GOM",47766,1111,4.5,"GBHAD","2017HaddockUpdateAssessment"
1969,16.21633529663,5.41951482772213,-0.152614593505,5.57212942122713,"GB",47766,1111,4.5,"GBHAD","2017HaddockUpdateAssessment"
1970,16.35465431213,9.51899365913069,-0.0142955780050009,9.53328923713569,"GOM",358145,36905.7,NA,"GBPOL","2017GroundfishOperationalAssessment"
1970,16.35465431213,9.51899365913069,-0.0142955780050009,9.53328923713569,"GOM",34913,4616,4.5,"GBHAD","2017HaddockUpdateAssessment"
1970,16.35465431213,5.55783384322213,-0.0142955780050009,5.57212942122713,"GB",358145,36905.7,NA,"GBPOL","2017GroundfishOperationalAssessment"
1970,16.35465431213,5.55783384322213,-0.0142955780050009,5.57212942122713,"GB",34913,4616,4.5,"GBHAD","2017HaddockUpdateAssessment"
1971,16.76178359985,5.96496313094213,0.392833709714999,5.57212942122713,"GB",24771,267,4.5,"GBHAD","2017HaddockUpdateAssessment"
1971,16.76178359985,5.96496313094213,0.392833709714999,5.57212942122713,"GB",379295,57209.6,NA,"GBPOL","2017GroundfishOperationalAssessment"
1971,16.76178359985,9.92612294685069,0.392833709714999,9.53328923713569,"GOM",24771,267,4.5,"GBHAD","2017HaddockUpdateAssessment"
1971,16.76178359985,9.92612294685069,0.392833709714999,9.53328923713569,"GOM",379295,57209.6,NA,"GBPOL","2017GroundfishOperationalAssessment"
1972,16.56237602234,9.72671536934069,0.193426132205001,9.53328923713569,"GOM",23222,8526,4.5,"GBHAD","2017HaddockUpdateAssessment"
1972,16.56237602234,9.72671536934069,0.193426132205001,9.53328923713569,"GOM",358573,23806.7,NA,"GBPOL","2017GroundfishOperationalAssessment"
1972,16.56237602234,5.76555555343213,0.193426132205001,5.57212942122713,"GB",23222,8526,4.5,"GBHAD","2017HaddockUpdateAssessment"
1972,16.56237602234,5.76555555343213,0.193426132205001,5.57212942122713,"GB",358573,23806.7,NA,"GBPOL","2017GroundfishOperationalAssessment"
1973,16.47225189209,9.63659123909069,0.103302001955001,9.53328923713569,"GOM",15889,19498,4.5,"GBHAD","2017HaddockUpdateAssessment"
1973,16.47225189209,9.63659123909069,0.103302001955001,9.53328923713569,"GOM",287844,18555.3,NA,"GBPOL","2017GroundfishOperationalAssessment"
1973,16.47225189209,9.63659123909069,0.103302001955001,9.53328923713569,"GOM",22161,29384,NA,"GBYTF","2008GARMIIIAppendix"
1973,16.47225189209,5.67543142318213,0.103302001955001,5.57212942122713,"GB",15889,19498,4.5,"GBHAD","2017HaddockUpdateAssessment"
1973,16.47225189209,5.67543142318213,0.103302001955001,5.57212942122713,"GB",287844,18555.3,NA,"GBPOL","2017GroundfishOperationalAssessment"
1973,16.47225189209,5.67543142318213,0.103302001955001,5.57212942122713,"GB",22161,29384,NA,"GBYTF","2008GARMIIIAppendix"
1974,16.62716674805,9.79150609505069,0.258216857915002,9.53328923713569,"GOM",284354,21643.7,NA,"GBPOL","2017GroundfishOperationalAssessment"
1974,16.62716674805,9.79150609505069,0.258216857915002,9.53328923713569,"GOM",29694,10577,4.5,"GBHAD","2017HaddockUpdateAssessment"
1974,16.62716674805,9.79150609505069,0.258216857915002,9.53328923713569,"GOM",14780,52184,NA,"GBYTF","2008GARMIIIAppendix"
1974,16.62716674805,5.83034627914213,0.258216857915002,5.57212942122713,"GB",284354,21643.7,NA,"GBPOL","2017GroundfishOperationalAssessment"
1974,16.62716674805,5.83034627914213,0.258216857915002,5.57212942122713,"GB",29694,10577,4.5,"GBHAD","2017HaddockUpdateAssessment"
1974,16.62716674805,5.83034627914213,0.258216857915002,5.57212942122713,"GB",14780,52184,NA,"GBYTF","2008GARMIIIAppendix"
1975,16.26949501038,5.47267454147213,-0.099454879755001,5.57212942122713,"GB",312240,25047,NA,"GBPOL","2017GroundfishOperationalAssessment"
1975,16.26949501038,5.47267454147213,-0.099454879755001,5.57212942122713,"GB",9014,70632,NA,"GBYTF","2008GARMIIIAppendix"
1975,16.26949501038,5.47267454147213,-0.099454879755001,5.57212942122713,"GB",22061,7930,4.5,"GBHAD","2017HaddockUpdateAssessment"
1975,16.26949501038,9.43383435738069,-0.099454879755001,9.53328923713569,"GOM",312240,25047,NA,"GBPOL","2017GroundfishOperationalAssessment"
1975,16.26949501038,9.43383435738069,-0.099454879755001,9.53328923713569,"GOM",9014,70632,NA,"GBYTF","2008GARMIIIAppendix"
1975,16.26949501038,9.43383435738069,-0.099454879755001,9.53328923713569,"GOM",22061,7930,4.5,"GBHAD","2017HaddockUpdateAssessment"
1976,16.44958877563,5.65276830672213,0.0806388854950022,5.57212942122713,"GB",321390,15821.6,NA,"GBPOL","2017GroundfishOperationalAssessment"
1976,16.44958877563,5.65276830672213,0.0806388854950022,5.57212942122713,"GB",28597,105344,4.5,"GBHAD","2017HaddockUpdateAssessment"
