ASSESSCLASS,HCR,FREF_TYP,FREF_PAR0,FREF_PAR1,BREF_TYP,BREF_PAR0,BREF_PAR1,RFUN_NM,RPInt,ImplementationClass,LandZero,CatchZero,EconType,EconName,EconData,MultiplierFile,OutputPriceFile,InputPriceFile,ProdEqn,ChoiceEqn
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,StandardFisheries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,TRUE,Multi,valid_pre_coefsnc1,validation_pre_coefsnc1,sim_multipliers_post_valid.Rds,output_prices_post_valid.Rds,input_prices_post_valid.Rds,post,prenc1
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,TRUE,Multi,valid_pre_coefsnc2,validation_pre_coefsnc2,sim_multipliers_post_valid.Rds,output_prices_post_valid.Rds,input_prices_post_valid.Rds,post,prenc2
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,TRUE,Multi,valid_pre_coefs1,validation_pre_coefs1,sim_multipliers_post_valid.Rds,output_prices_post_valid.Rds,input_prices_post_valid.Rds,post,pre1
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,TRUE,Multi,valid_pre_coefs2,validation_pre_coefs2,sim_multipliers_post_valid.Rds,output_prices_post_valid.Rds,input_prices_post_valid.Rds,post,pre2
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,TRUE,Multi,CF_precoefsnc1,counterfactual_pre_coefsnc1,sim_multipliers_pre_CF.Rds,output_prices_post_CF.Rds,input_prices_post_CF.Rds,pre,prenc1
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,TRUE,Multi,CF_precoefsnc2,counterfactual_pre_coefsnc2,sim_multipliers_pre_CF.Rds,output_prices_post_CF.Rds,input_prices_post_CF.Rds,pre,prenc2
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,TRUE,Multi,CF_precoefs1,counterfactual_pre_coefs1,sim_multipliers_pre_CF.Rds,output_prices_post_CF.Rds,input_prices_post_CF.Rds,pre,pre1
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,TRUE,Multi,CF_precoefs2,counterfactual_pre_coefs2,sim_multipliers_pre_CF.Rds,output_prices_post_CF.Rds,input_prices_post_CF.Rds,pre,pre2
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,FALSE,Single,CF_precoefsnc1_single ,counterfactual_pre_coefsnc1,sim_multipliers_pre_CF.Rds,output_prices_post_CF.Rds,input_prices_post_CF.Rds,pre,prenc1
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,FALSE,Single,CF_precoefsnc2_single,counterfactual_pre_coefsnc2,sim_multipliers_pre_CF.Rds,output_prices_post_CF.Rds,input_prices_post_CF.Rds,pre,prenc2
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,FALSE,Single,CF_precoefs1_single ,counterfactual_pre_coefs1,sim_multipliers_pre_CF.Rds,output_prices_post_CF.Rds,input_prices_post_CF.Rds,pre,pre1
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,FALSE,Single,CF_precoefs2_single,counterfactual_pre_coefs2,sim_multipliers_pre_CF.Rds,output_prices_post_CF.Rds,input_prices_post_CF.Rds,pre,pre2
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,FALSE,Multi,Cfnocatch,counterfactual,sim_multipliers_pre_CF.Rds,output_prices_post_CF.Rds,input_prices_post_CF.Rds,pre,pre1
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,TRUE,Multi,Validation,validation,sim_multipliers_post_valid.Rds,output_prices_post_valid.Rds,input_prices_post_valid.Rds,post,pre1
CAA,simplethresh,FmsySim,-30,-1,SIM,-30,-1,hindcastMean,1,Economic,TRUE,TRUE,Multi,MSE,full_targeting_coefsnc2,sim_multipliers_post_MSE.Rds,output_prices_post_MSE.Rds,input_prices_post_MSE.Rds,post,postnc2
