"HCR" "FREF_TYP" "FREF_LEV" "BREF_TYP" "BREF_LEV" "RFUN_NM"
"ns1" "YPR" 0.1 "RSPR" 0.8 "MEAN"
"ns1" "YPR" 0.15 "RSPR" 0.8 "MEAN"
"ns1" "SPR" 0.3 "RSPR" 0.8 "MEAN"
"ns1" "SPR" 0.4 "RSPR" 0.8 "MEAN"
"ns1" "YPR" 0.1 "RSPR" 1 "MEAN"
"ns1" "YPR" 0.15 "RSPR" 1 "MEAN"
"ns1" "SPR" 0.3 "RSPR" 1 "MEAN"
"ns1" "SPR" 0.4 "RSPR" 1 "MEAN"
"ns1" "YPR" 0.1 "RSPR" 0.2 "MEAN"
"ns1" "YPR" 0.15 "RSPR" 0.2 "MEAN"
"ns1" "SPR" 0.3 "RSPR" 0.2 "MEAN"
"ns1" "SPR" 0.4 "RSPR" 0.2 "MEAN"
"ns1" "YPR" 0.1 "SIM" NA "MEAN"
"ns1" "YPR" 0.15 "SIM" NA "MEAN"
"ns1" "SPR" 0.3 "SIM" NA "MEAN"
"ns1" "SPR" 0.4 "SIM" NA "MEAN"
"ns1" "YPR" 0.1 "SIM" NA "L5SAMP"
"ns1" "YPR" 0.15 "SIM" NA "L5SAMP"
"ns1" "SPR" 0.3 "SIM" NA "L5SAMP"
"ns1" "SPR" 0.4 "SIM" NA "L5SAMP"
