"yrs_temp" "Tanom"
1851 0
1852 0
1853 0
1854 0
1855 0
1856 0
1857 0
1858 0
1859 0
1860 0
1861 0
1862 0
1863 0
1864 0
1865 0
1866 0
1867 0
1868 0
1869 0
1870 0
1871 0
1872 0
1873 0
1874 0
1875 0
1876 0
1877 0
1878 0
1879 0
1880 0
1881 0
1882 0
1883 0
1884 0
1885 0
1886 0
1887 0
1888 0
1889 0
1890 0
1891 0
1892 0
1893 0
1894 0
1895 0
1896 0
1897 0
1898 0
1899 0
1900 0
1901 -0.36476659775
1902 -0.292567729950001
1903 -0.0200123786899997
1904 0.230700969700001
1905 0.63795423508
1906 0.442691326139999
1907 0.417312145230001
1908 0.690316677099998
1909 0.477441310880002
1910 -0.259380817409999
1911 0.419599056249998
1912 -0.100123882290001
1913 -0.0316853523200002
1914 0.331111431119998
1915 -0.627814769740001
1916 0.203937053680001
1917 -0.25346040726
1918 0.170496463779999
1919 0.11412477493
1920 0.475747585300001
1921 -0.33059072494
1922 -0.58050966263
1923 -0.51610231399
1924 -0.259707927700001
1925 -0.933311939239999
1926 -0.551580905910001
1927 0.288892269140002
1928 0.525008678440001
1929 0.00697565079000029
1930 0.21364450455
1931 0.696204662320001
1932 0.0153994560299999
1933 0.786170482640001
1934 -0.00697565079000029
1935 0.196515560149999
1936 -0.0748972892699999
1937 -0.5190987587
1938 -0.47142076492
1939 -0.20152330398
1940 0.0374674797099992
1941 -0.0868582725499998
1942 -0.0623536109899998
1943 0.14718961716
1944 0.0988297462500007
1945 0.388238430020001
1946 0.292047023770001
1947 -0.49267721176
1948 0.15948629379
1949 0.1598610878
1950 -0.16603708267
1951 0.738933086400001
1952 -0.226314067840001
1953 0.357158184049998
1954 0.0758986473099998
1955 0.40179204941
1956 0.19426393509
1957 -0.0535759925800008
1958 0.638322353360001
1959 -0.0364823341400005
1960 -0.197750568390001
1961 0.176055431369999
1962 -0.719025135040001
1963 -0.27271223068
1964 0.150089740749999
1965 0.04675722122
1966 0.206862926479999
1967 0.0551276207000004
1968 0.205052852630001
1969 0.527341365819998
1970 0.105897426609999
1971 -0.81343030929
1972 -0.24052381515
1973 -0.167449474330001
1974 -0.0256667137100006
1975 0.17857980728
1976 -0.254097461700001
1977 -0.16777563095
1978 -0.65482664108
1979 -0.88509702682
1980 -0.613119602199999
1981 -0.39353990555
1982 -0.40765810013
1983 -0.0709700584400004
1984 -0.6003613472
1985 -0.75822877884
1986 -0.1524682045
1987 0.211630344390001
1988 0.254161357879999
1989 -0.525430202480001
1990 0.627675533300001
1991 0.992440700529999
1992 0.979239940649999
1993 0.581916332250001
1994 0.40287923813
1995 0.658929347989998
1996 0.518592357640001
1997 1.30445241928
1998 0.623523235319999
1999 1.21432256699
2000 1.28221845627
2001 1.66480016709
2002 0.835406780240001
2003 0.61791944504
2004 0.13687086106
2005 0.4523768425
2006 0.957334041600001
2007 0.904222011570001
2008 0.749543666839999
2009 0.260381221769999
2010 1.00194311142
2011 0.806766033170002
2012 1.51105833054
2013 0.550990581510002
2014 1.26323461533
2015 2.05272054672
2016 1.29245138169
2017 0.877257823949998
2018 -0.0191521644599995
2019 0.922408580779999
2020 0.713296413419998
2021 1.12527036667
2022 1.61645650864
2023 1.62895917893
2024 0.460402965550001
2025 0.941079616550001
2026 0.696271419530001
2027 1.32229948044
2028 1.09208440781
2029 1.39977407456
2030 1.09694814682
2031 1.04064893723
2032 1.39290380478
2033 1.46036672592
2034 1.04974508286
2035 1.23158407211
2036 1.13030958176
2037 1.06973981857
2038 1.54941511154
2039 2.28951597214
2040 1.87305402756
2041 1.24396085739
2042 1.92682790756
2043 1.65050268173
2044 1.50004529953
2045 1.90689039231
2046 1.4550280571
2047 2.08684682846
2048 2.50535726547
2049 2.57375478745
2050 2.34613180161
2051 1.71980810166
2052 1.9647269249
2053 2.05658483505
2054 2.0582652092
2055 1.54036283493
2056 2.24043226242
2057 2.6087679863
2058 2.39375829697
2059 2.38874006272
2060 2.35487508774
2061 2.98608922959
2062 3.0733962059
2063 3.32233190537
2064 2.56968832016
2065 2.55059194565
2066 2.68840932846
2067 2.51450872421
2068 2.78613996506
2069 3.64910650253
2070 3.49553060532
2071 3.03662633896
2072 2.90479230881
2073 2.66482496262
2074 3.21570920944
2075 3.32015943527
2076 3.00918340683
2077 3.43195676804
2078 4.26032209397
2079 3.6644244194
2080 3.82839727402
2081 3.57310819626
2082 3.77044057846
2083 2.56229734421
2084 3.71145582199
2085 3.42406225205
2086 4.09909582138
2087 4.0982375145
2088 3.93186712265
2089 3.51049375534
2090 3.42680692673
2091 4.15396261215
2092 4.38387441635
2093 4.60435247421
2094 4.62965345383
2095 4.68989896774
2096 4.94515943527
2097 4.37456274033
2098 4.09330701828
2099 4.54717969895
