Year,age1,SSB
1960,122245,137525.00
1961,54312,171975.00
1962,39050,179431.00
1963,188241,163737.00
1964,460816,167402.00
1965,32513,217565.00
1966,4155,186839.00
1967,14013,106435.00
1968,542,71846.00
1969,1111,47766.00
1970,4616,34913.00
1971,267,24771.00
1972,8526,23222.00
1973,19498,15889.00
1974,10577,29694.00
1975,7930,22061.00
1976,105344,28597.00
1977,13982,49853.00
1978,6124,76789.00
1979,83883,72404.00
1980,10932,71220.00
1981,7362,61529.00
1982,2579,49494.00
1983,3281,38672.00
1984,18070,26965.00
1985,2515,20028.00
1986,16764,20992.00
1987,2603,20804.00
1988,19933,19729.00
1989,1358,20470.00
1990,3378,24275.00
1991,2688,21911.00
1992,10528,16369.00
1993,15190,14619.00
1994,14941,19815.00
1995,12203,26025.00
1996,11300,34539.00
1997,22259,42030.00
1998,13777,48722.00
1999,45218,56606.00
2000,10206,69096.00
2001,78083,81172.00
2002,4391,90206.00
2003,2079,104172.00
2004,249145,91256.00
2005,5318,91684.00
2006,12866,142283.00
2007,4175,151258.00
2008,4380,135032.00
2009,1773,109334.00
2010,6366,75519.00
2011,278296,45732.00
2012,41319,41227.00
2013,23598,107671.00
2014,1839273,150185.00
2015,48629,212734.00
2016,88436,549938.00
