Year,Recruits(000s),SSB(mt)
1973,29384,22161
1974,52184,14780
1975,70632,9014
1976,24731,10024
1977,17283,8351
1978,54437,6169
1979,25508,8501
1980,24034,10884
1981,62997,10144
1982,22846,12975
1983,6581,11103
1984,10843,3847
1985,16749,2558
1986,8473,3210
1987,9193,2750
1988,22841,2198
1989,9661,4170
1990,11217,4750
1991,22557,3485
1992,17518,4472
1993,13938,3966
1994,13180,2823
1995,11672,2941
1996,13470,4993
1997,19801,6380
1998,22402,7262
1999,24564,9600
2000,19880,10280
2001,22331,9300
2002,15547,10201
2003,11770,10219
2004,10472,5869
2005,14435,4157
2006,49437,4427
2007,18373,9526
,19120,
