COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1963,Abundance (numbers/tow),4.3732,0.2471,2.696,6.2534
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1964,Abundance (numbers/tow),2.845,0.2013,2.0252,3.9501
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1965,Abundance (numbers/tow),4.2502,0.2561,2.473,6.0098
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1966,Abundance (numbers/tow),4.9024,0.2231,3.2593,6.8609
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1967,Abundance (numbers/tow),10.3314,0.2361,6.5576,14.5462
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1968,Abundance (numbers/tow),3.3058,0.2132,2.1922,4.5956
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1969,Abundance (numbers/tow),2.2393,0.1696,1.6389,2.9036
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1970,Abundance (numbers/tow),5.116,0.1567,3.8347,6.4557
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1971,Abundance (numbers/tow),3.1863,0.1972,2.2585,4.2998
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1972,Abundance (numbers/tow),13.0851,0.2114,8.7372,17.8064
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1973,Abundance (numbers/tow),12.2759,0.2181,8.0487,16.9872
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1974,Abundance (numbers/tow),3.4893,0.1936,2.4598,4.6959
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1975,Abundance (numbers/tow),6.4057,0.4446,2.4823,11.6353
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1976,Abundance (numbers/tow),10.4252,0.2897,5.7731,15.8718
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1977,Abundance (numbers/tow),5.4443,0.1431,4.1999,6.7924
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1978,Abundance (numbers/tow),8.5904,0.1441,6.6142,10.7272
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1979,Abundance (numbers/tow),5.9483,0.1773,4.3708,7.8584
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1980,Abundance (numbers/tow),2.9053,0.1719,2.1305,3.8363
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1981,Abundance (numbers/tow),9.1486,0.3957,4.5474,16.5423
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1982,Abundance (numbers/tow),3.337,0.3765,1.6333,5.8136
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1983,Abundance (numbers/tow),4.1362,0.3153,2.1153,6.3793
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1984,Abundance (numbers/tow),4.7282,0.2674,2.7124,6.9334
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1985,Abundance (numbers/tow),2.3073,0.3773,1.0746,3.8674
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1986,Abundance (numbers/tow),2.9867,0.3924,1.255,5.1712
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1987,Abundance (numbers/tow),2.3253,0.2535,1.3838,3.2634
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1988,Abundance (numbers/tow),3.0688,0.2637,1.7864,4.5033
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1989,Abundance (numbers/tow),4.8406,0.3621,2.2417,8.0261
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1990,Abundance (numbers/tow),4.781,0.2902,2.7211,7.0839
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1991,Abundance (numbers/tow),0.957,0.2233,0.6104,1.3111
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1992,Abundance (numbers/tow),1.724,0.22,1.1043,2.3641
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1993,Abundance (numbers/tow),2.1485,0.598,0.5609,4.8287
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1994,Abundance (numbers/tow),1.8189,0.2333,1.1552,2.537
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1995,Abundance (numbers/tow),3.6156,0.4275,1.4674,6.297
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1996,Abundance (numbers/tow),1.101,0.2602,0.6823,1.6199
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1997,Abundance (numbers/tow),0.8668,0.4035,0.3868,1.5446
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1998,Abundance (numbers/tow),1.8671,0.2151,1.2459,2.5653
"COD,ATLANTIC",164712,GBK,NONE,10,NMFS fall BTS,FALL,1999,Abundance (numbers/tow),1.0156,0.2837,0.571,1.5337
