COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1963,Abundance (numbers/tow),21.0604,0.3299,10.3351,32.6652
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1964,Abundance (numbers/tow),6.5528,0.8304,0.1754,13.3687
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1965,Abundance (numbers/tow),7.4563,0.2381,4.7369,10.5265
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1966,Abundance (numbers/tow),9.5909,0.3022,5.5557,13.626
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1967,Abundance (numbers/tow),1.3158,0.4188,0.307,2.3246
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1968,Abundance (numbers/tow),1.5702,0.5093,0.4386,3.0045
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1969,Abundance (numbers/tow),4.2369,0.4464,1.4027,7.4581
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1970,Abundance (numbers/tow),2.0948,0.3932,0.7298,3.4597
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1971,Abundance (numbers/tow),2.4948,0.6281,0.0439,5.3457
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1972,Abundance (numbers/tow),18.3022,0.6899,1.4641,43.9115
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1973,Abundance (numbers/tow),2.8597,0.4735,0.8334,5.2896
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1974,Abundance (numbers/tow),0.3947,0.6085,0.0877,0.9211
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1975,Abundance (numbers/tow),1.6649,0.3821,0.6749,2.8182
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1976,Abundance (numbers/tow),8.6006,0.5339,1.8616,17.3941
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1977,Abundance (numbers/tow),21.1765,0.4468,8.3486,39.6789
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1978,Abundance (numbers/tow),6.8887,0.5919,1.8439,14.8948
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1979,Abundance (numbers/tow),10.7798,0.1625,8.1051,13.8106
"FLOUNDER,YELLOWTAIL",172909,CCGOM,NONE,10,NMFS fall BTS,FALL,1980,Abundance (numbers/tow),26.3949,0.3187,14.1619,41.5491
