"Year","avg"
1964,NA
1965,NA
1966,NA
1967,NA
1968,NA
1969,NA
1970,NA
1971,NA
1972,NA
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,NA
1979,1.00764318537012
1980,1.64446666867403
1981,2.12795999256907
1982,1.31524788178753
1983,1.28104617607826
1984,0.727751346855275
1985,0.581235626100289
1986,0.544928187233979
1987,0.700387220220097
1988,0.450445079227674
1989,0.795760963971287
1990,0.827469636075659
1991,0.872275844619095
1992,0.660216245665589
1993,0.635413559649264
1994,0.781415832511015
1995,1.12723420371095
1996,0.983765794351034
1997,0.76213683808565
1998,0.673312322445284
1999,0.679694512612846
2000,2.45064644578266
2001,1.09280161421952
2002,0.972676125557672
2003,0.548545633964625
2004,0.868310534347837
2005,0.957395933417467
2006,0.788579404045926
2007,1.19140919636387
2008,1.26565429961191
2009,1.41011974545824
2010,1.60664517757258
2011,1.39381649158567
2012,1.39092747311601
2013,1.22146708319021
2014,1.18341187190133
2015,1.00881928947675
2016,1.40422652292089
2017,NA
