"Year","10 NMFS fall BTS","10 NMFS spring BTS","11 MADMF fall BTS","11 MADMF spring BTS"
1964,5.8576,NA,NA,NA
1965,2.2236,NA,NA,NA
1966,1.9441,NA,NA,NA
1967,2.0002,NA,NA,NA
1968,0.5062,0.1208,NA,NA
1969,0.485,0.1156,NA,NA
1970,1.5863,1.4484,NA,NA
1971,0.6093,0.5016,NA,NA
1972,0.6652,0.9445,NA,NA
1973,5.168,0.3393,NA,NA
1974,1.0847,0.7413,NA,NA
1975,0.2347,0.3331,NA,NA
1976,0.7443,0.9248,NA,NA
1977,2.2635,0.4188,NA,NA
1978,8.1886,0.1548,NA,9.6586
1979,2.2268,0.5322,2.8513,9.8052
1980,3.0186,1.5287,7.4916,8.8039
1981,7.2269,1.5514,5.4038,14.9024
1982,2.381,3.0816,2.2701,10.4316
1983,2.6825,2.854,3.5644,6.5313
1984,0.3333,1.0693,2.9882,5.8938
1985,1.8143,0.626,1.0535,4.852
1986,1.5752,0.4807,1.3081,4.4039
1987,0.9071,2.5273,1.3689,3.4169
1988,0.5433,1.0769,1.0546,3.5008
1989,1.1449,0.7333,3.9163,4.3418
1990,1.8714,1.6926,1.4616,6.3229
1991,1.993,1.5436,3.4345,2.8494
1992,1.0482,0.7762,2.2025,5.3482
1993,2.0001,0.5137,1.9128,3.9687
1994,0.9581,1.0612,3.0308,5.5783
1995,2.8211,2.0792,2.3699,7.7406
1996,0.7828,1.1491,4.6606,6.5834
1997,2.7406,1.2382,1.1853,4.7333
1998,2.3371,1.1795,1.3799,3.3419
1999,1.7,1.6196,2.0799,2.05
2000,6.2648,9.8699,1.926,8.3455
2001,3.5624,2.3318,1.5343,6.4078
2002,1.9401,3.8336,1.4466,3.2461
2003,0.726,1.9763,0.7057,3.5148
2004,3.444,1.0907,2.0216,3.9858
2005,0.504,1.471,4.3687,6.3732
2006,0.6423,1.3197,1.9869,8.2009
2007,0.824,3.5723,2.5211,9.2135
2008,3.5506,3.0752,2.2274,6.6179
2009,4.9063,3.8856,1.8434,5.2659
2010,5.9561,4.7917,1.5479,5.3591
2011,5.3857,2.766,2.5039,5.4917
2012,2.8982,4.9608,3.6456,2.1576
2013,3.5453,4.776,1.115,3.2113
2014,4.798,3.8924,1.1123,1.9642
2015,2.9533,2.932,1.0934,5.1747
2016,1.8892,4.0488,3.893,6.9743
2017,2.4679,2.8003,3.3239,NA
